"Name","URL"
"BBC Nepali","https://stream.live.vc.bbcmedia.co.uk/bbc_nepali_radio"
"BBC Nepali 103 MHz","https://stream.live.vc.bbcmedia.co.uk/bbc_nepali_radio"
"Capital FM 92.4","http://streaming.softnep.net:8037/"
"Chitwan Online FM","https://playerservices.streamtheworld.com/api/livestream-redirect/SAM04AAC227_SC"
"Hits FM 91.2","https://usa15.fastcast4u.com/proxy/hitsfm912?mp=/1"
"Kantipur FM","https://radio-broadcast.ekantipur.com/stream"
"KOOL FM 90.3","https://streaming.softnep.net:10944/stream.nsv&type=mp3&volume=70"
"Naya Radio","http://live.itech.host:1110/"
"Radio Adhyatma Jyoti","https://stream.hamropatro.com/8074"
"Radio Audio","https://stream.zeno.fm/fvrx47wpg0quv"
"Radio Himalaya","https://live.itech.host/himalayaradio?1588276425741"
"Radio Kantipur","https://radio-broadcast.ekantipur.com/stream"
"Radio Kantipur FM 96.1 MHz","https://radio-broadcast.ekantipur.com/stream"
"Radio Nepal","https://stream1.radionepal.gov.np/live/"
"Radio Sahino","http://live.itech.host:7093/live"
"Radio Sathi","http://live.itech.host:7115/live"
"RadioSagar","https://eu1.fastcast4u.com/proxy/radiosag?mp=/stream/1/"
"Swadesh 93.2 FM","http://216.55.141.189:8653/stream?type=http&nocache=66846"
"Swadesh FM","https://radio.garden/api/ara/content/listen/ApPqIXdm/channel.mp3?1700834587158"
"Ujyaalo 90 Network","http://stream.zenolive.com/wtuvp08xq1duv"
"Ultimaě radio","https://ultimae-bofaradio.radioca.st/"
"Vijaya FM 101.6","https://live.itech.host:3320/stream"
"रेडियो हिमालय","https://live.itech.host/himalayaradio"
