"Name","URL"
"100,3FM South Canterbury","http://uk4-vn.mixstream.net:8066/stream/1/"
"2XS FM Palmerston North","http://125.236.204.178:8001/listen.mp3"
"8K.NZ","http://radio8k.out.airtime.pro:8000/radio8k_a.m3u"
"8K.NZ || Christchurch, NZ","http://radio8k.out.airtime.pro:8000/radio8k_a"
"91.2 Oamaru FM","https://usa1-vn.mixstream.net/8096/listen.mp3"
"95BFM","https://streams.95bfm.com/stream95"
"95bFM ","https://streams.95bfm.com/stream95"
"Arrow FM","https://live.accessmedia.nz/ArrowFM.stream/playlist.m3u8"
"Arrow FM 92.7","https://live.accessmedia.nz/ArrowFM.stream/playlist.m3u8"
"Bay FM 100.7","https://s38.myradiostream.com:8876/?listening-from-radio-garden=1686796930"
"BeachFM 106.3","http://s8.myradiostream.com:58408/"
"Big River FM","http://bigriver.broadcast.co.nz/bigriverfm.mp3"
"Bollybop","https://s3.radio.co/s2f19d44d0/listen"
"Chopper FM Southland 87.6","https://s1.voscast.com:11235/stream"
"Coast Access Radio MP3","https://live.accessmedia.nz/Coast.stream/playlist.m3u8"
"Compass FM","http://stream.compassfm.org.nz:8000/Compass_FM_104.9"
"Cool Blue Taupo","http://falcon.shoutca.st:8166/stream"
"Country Radio Invercargill 105.2FM","http://countryradio2.no-ip.org:8000/"
"Country Radio Invercargilll","http://countryradio2.no-ip.org:8000/"
"Dave FM","http://davefmradio.no-ip.org:8000/stream"
"Drop FM","https://s2.radio.co/s7649837db/listen"
"East FM","http://listen.eastfm.nz/stream.mp3"
"Easy 80s","http://procyon.shoutca.st:8032/"
"Galaxy 107 FM  Kawerau","http://s39.myradiostream.com:14858/listen.mp3"
"Gone Country","https://usa10.fastcast4u.com:6010/?type=http&nocache=1676417570"
"Heads FM Mangawhai 106.4","https://headsfm.radioca.st/stream"
"https://badradio.nz/ - 24/7 PHONK","https://s2.radio.co/s2b2b68744/listen"
"Hutt Radio 88.3FM","https://stream.zeno.fm/argf5n7rbrruv"
"jakemusic","https://camera.jakebriggs.com/jakemusic"
"Jazz Cafe","http://radio.wanderingsheep.tv:8000/jazzcafe"
"KAOS Blenheim NZ","http://74.91.125.187:8068/stream"
"Kiwi Folk Radio","https://streamer.radio.co/sde527a41e/listen"
"KIX FM","https://stream.kixfm.co.nz:8178/stream"
"Lake FM Taupo","https://lakefm-gecko.radioca.st/stream"
"LibertyNZ on The Wireless","https://stream.zeno.fm/lamr6x1fxrruv.pls"
"LifeFM","http://rhema-radio.streamguys1.com/rhema-lifefm.mp3"
"MAD FM Auckland 106.7","https://madfm-gecko.radioca.st/stream"
"metalradio.co.nz","http://curiosity.shoutca.st:9073/stream"
"MFM Te Reo O Te Iwi","https://stream-150.zeno.fm/utfkkxfawp8uv?zs=K14ATu12TS2dc8uy0OiMBw"
"MIX FM Wellington","https://stream.mixfm.nz/"
"Mountainside FM","http://stream.nrgkits.co.nz:5000/mountainside"
"Mouthfull Radio","https://mouthfull-radio.radiocult.fm/stream"
"MPR Manawatu People's Radio","https://live.accessmedia.nz/MPR.stream/playlist.m3u8"
"Mushroom Escape","https://cast3.my-control-panel.com/proxy/jonatha1/escape?1664781783632"
"Mushroom FM","https://www.mushroomfm.com/media/listen.pls"
"Niu FM","https://playerservices.streamtheworld.com/api/livestream-redirect/NIUFM.mp3?dist=onlineradiobox"
"Oamaru Heritage Radio","http://202.9.116.204:8000/ohrweb"
"OAR 105.4FM Dunedin","https://live.accessmedia.nz/Otago.stream/playlist.m3u8"
"One Christian Radio","https://radio.wanderingsheep.net:33001/onechristianradio"
"Paekakariki","http://icecast.groundtruth.co.nz:8000/paekakfm.mp3.m3u"
"Plains FM 96.9","https://live.accessmedia.nz/plains.stream/playlist.m3u8"
"Positively Morrinsville 87.7FM","https://c16.radioboss.fm:8262/stream?1652324863134"
"Power Hit FM 87.8 - Christchurch, NZ","http://listen.powerhitfm.co.nz:16100/stream"
"RadiJohan","http://69.30.214.54:13740/?type=http&nocache=1708209708?0.5747864581171453"
"Radio - X","https://playerservices.streamtheworld.com/api/livestream-redirect/SAM02AAC65_SC?dist=onlineradiobox"
"Radio A - Nelson NZ","https://listen.radioking.com/radio/106324/stream/145267"
"Radio Bay FM 100.7","https://s38.myradiostream.com:8876/?listening-from-radio-garden=1686969300"
"Radio Bolly Bop","http://s3.radio.co/s2f19d44d0/listen"
"Radio Bollybop","https://s3.radio.co/s2f19d44d0/listen"
"Radio Central","https://stream.radioapp.co.nz/radiocentral"
"Radio Hawkes Bay","https://live.accessmedia.nz/Kidnappers.stream/playlist.m3u8"
"Radio Hydra","https://streaming.radio.co/sed9109681/listen"
"Radio New Zealand National","http://radionz-ice.streamguys.com/national.mp3"
"Radio one 91 fm ","https://play.r1.co.nz/live"
"Radio One 91FM","https://play.r1.co.nz/live"
"Radio Planeta 107.7","http://radionz-ice.streamguys.com/national.mp3"
"Radio Redwood","http://123.255.61.226:8020/?type=http&nocache=76646"
"Radio Samoa 1593am","http://radiosamoa.stream.broadcast.co.nz:8000/rsamoa48k"
"Radio Sangeet Masti","https://servidor19-4.brlogic.com:7304/live?source=website"
"Radio Spice (Auckland, New Zealand)","http://stream9.broadcast.co.nz:8000/radiospicewebsiteaudio.mp3"
"Radio Te Aroha 88FM","https://c2.radioboss.fm:18440/stream"
"Radioactive.FM 88.6","https://radio123-gecko.radioca.st/radioactivefm"
"Radiowave NZ","https://listen.radioking.com/radio/106324/stream/145267"
"Raglan Community Radio","http://222.154.255.152:88/broadwave.mp3"
