"Name","URL"
"AM Original 1180 Veraguas","http://rosetta.shoutca.st:9264/stream"
"Blast panama","https://stream.mixesurbanospty.com:8020/blasturbana.mp3"
"CHT FM 107.7","https://radios.host-pa.com:8046/"
"Faro de David 104.5 FM","https://tv.farodedavid.com:8002/live"
"FM Corazón 102.5","https://sp4.colombiatelecom.com.co/8006/stream"
"Los 40 Principales Panamá","http://provisioning.streamtheworld.com/pls/LOS40_PAN.pls"
"Original Stereo 90.7 FM","http://rosetta.shoutca.st:8931/"
"Radio Disney Panamá","http://ic.streann.com:8000/disneypanama"
"RADIO MARIA PANAMA","http://dreamsiteradiocp.com:8082/stream"
"XTREME MUSIC RADIO","https://radios.sonicp.com/8020/stream"
