"Name","URL"
"Aero Music","http://stream.zeno.fm/n652n9msaq8uv"
"Altamar Ilo","https://cloudstream2030.conectarhosting.com/9380/stream"
"Az Retro Peru","https://stream.zeno.fm/v7kvqunmwzzuv"
"Baladitas","http://stream.zeno.fm/hf2gsfm1mp8uv?1649692370879"
"Boleros Inolvidables (FMLima)","https://stream.zeno.fm/5t45zksv7mruv"
"Chalaca","https://conectperu.com:7041/stream?icy=http"
"Chami Radio 1040 AM","https://centova.heplayer.com/proxy/stereon1/stream"
"CJ rad","https://stream.zeno.fm/xvnzmkxzfrhtv"
"Conexion Kpop","https://centova.heplayer.com/proxy/conexion/stream"
"Corporación Radial E&L - Ocalli, Luya","https://stream.zeno.fm/ve5kqm6deq3vv"
"Digital Play FM","https://dpfmadmin.radioca.st/stream"
"El Sembrador Radio 590 AM Y 100.1 FM","https://panel.streamenviron.com:8158/stream.mp3"
"Estación Alpamayo","https://eu47-sonic.instainternet.com/8096/stream"
"Estudio J 97.3 FM","https://stream.zeno.fm/qusmdw24a48uv"
"Fidelísima Radio 107.7 FM","https://st3.inkaniserver.net:8008/stream"
"Filarmonía","https://c22.radioboss.fm:8100/stream"
"Filarmonía (OCR-4V, 102.7 MHz FM, Lima) (IRTP)","http://c22.radioboss.fm:8100/stream"
"Flow Cristiano","https://mediastreamm.com:8054/stream?icy=http"
"FMLima","https://stream.zeno.fm/qotg58sxvehvv"
"Hisparockas","https://stream.zeno.fm/nhu7v3guz08uv"
"Jazzcontempo","https://cast4.asurahosting.com/proxy/fernand4/stream"
"JVM la Estación","https://stream.laut.fm/jvmlaestacion"
"JVM la Estación (Cusco)","https://stream.laut.fm/jvmlaestacion"
"Ke Brava","https://stream.zenolive.com/59947b1wfuquv"
"La Incontrastable Radio","https://stream.zeno.fm/vkhw2yc0mfhvv"
"La Mejor Música del Mundo","https://stream.zeno.fm/n54r7dsxs98uv"
"La Ñ (FMLima)","https://stream.zeno.fm/tk4wmqvnnnruv"
"La Noventera","https://host.gometri.com/proxy/lanoventera/stream/"
"La Radio de Cushta Galiano","http://stream.zeno.fm/z27q1ywrt98uv"
"La Salsa Maestra","https://stream.zeno.fm/c1skkw28pfeuv"
"Levelhits","https://radio.pjcks.com/7234/stream"
"Mambo INN Radio","https://radio.perustream.com:7000/stream"
"Melodia Arequipa","http://stream.radiomelodia.com.pe:8000/radio.mp3"
"MGR Radio (Mara Gamero & Dj Ethamx)","https://stream-154.zeno.fm/fdhacwakavkuv"
"MI Radio (Percy Altamirano & Dj Ethamx)","https://stream-170.zeno.fm/g9afqk829ibtv"
"Nuevaolera","https://stream.zeno.fm/4q99spjike0uv"
"Orbita Radio Dance","http://topradio.pro:8090/autodj"
