"Name","URL"
"#radio quran","https://n0a.radiojar.com/0tpy1h0kxtzuv?rj-ttl=5&rj-tok=AAABhdgGORQA-2acfyF3_4WY2g"
"101peshawar","https://whmsonic.radio.gov.pk:8070/relay?type=http&nocache=9"
"AK radio Trarkhal ","https://whmsonic.radio.gov.pk:8076/relay?type=http&nocache=9"
"Aladin Radio Network","https://cc.vmakerhost.com/proxy/magic?mp=/live"
"All4Masti","http://stream.zeno.fm/bahhkuge5zhvv"
"fm","http://canada1.reliastream.com:8191/stream"
"FM 100 Pakistan","http://162.244.80.118:4900/stream.mp3"
"FM 100 Pakistan Abbottabad","http://162.244.80.118:4900/stream.mp3"
"FM 100 Pakistan Gujrat","http://162.244.80.118:4900/stream.mp3?ver=682776"
"FM 100 Pakistan Hyderabad","http://162.244.80.118:3024/stream.mp3?ver=517748"
"FM 100 Pakistan Islamabad","http://162.244.80.118:4900/stream.mp3?ver=604498"
"FM 100 Pakistan Jhelum","http://162.244.80.118:4900/stream.mp3"
"FM 100 Pakistan Karachi","http://162.244.80.118:3024/stream.mp3?ver=349829"
"FM 101 Islamabad","https://whmsonic.radio.gov.pk:7008/stream"
"FM 101 Karachi","https://whmsonic.radio.gov.pk:8048/stream"
"FM 101 Larkana","https://whmsonic.radio.gov.pk:8050/stream"
"FM 101 Mithi","https://whmsonic.radio.gov.pk:8052/stream"
"FM 93 Chitral","https://whmsonic.radio.gov.pk:8066/relay"
"FM 93 Faisalabad","https://whmsonic.radio.gov.pk:8022/relay"
"FM 93 Karachi","https://whmsonic.radio.gov.pk:7022/stream"
"FM 93 Lahore","https://whmsonic.radio.gov.pk:8088/stream"
"FM 93 Mianwali","https://whmsonic.radio.gov.pk:8028/relay"
"FM 93 Multan","https://whmsonic.radio.gov.pk:8032/stream"
"FM 93 Rawalpindi","https://whmsonic.radio.gov.pk:8036/relay"
"fm...","http://n0a.radiojar.com/htnudfgugm8uv?rj-ttl=5&rj-tok=AAABjGvN8wYArmabhGP5SLHW1A"
"fm.1","http://104.7.66.64:8092/?icy=http"
"fm.105","http://172.93.237.106:8153/"
"Fm.94.4","https://whmsonic.radio.gov.pk:7002/stream?type=http&nocache=12"
"Hot FM 105","http://172.93.237.106:8000/listen.mp3"
"HOT FM Karachi","http://172.93.237.106:8000/"
"Hum FM 106.2","https://server.mediacast4u.stream/8002/stream"
"ILM Radio Renala FM 92","https://stream.zeno.fm/7wre21u7xa0uv"
"live ","http://live.mp3quran.net:9752/"
"Love-Islam-Radio","https://stream-52.zeno.fm/f9h69cgbu68uv"
"Mera FM 107.4","https://samaakhi107-itelservices.radioca.st/stream"
"Multan MW","https://whmsonic.radio.gov.pk:8034/stream?type=http&nocache=12"
"naat","http://philae.shoutca.st:8640/naat"
"Papa John's Pizza Pakistan","http://162.252.85.85:7086/listen.pls?sid=1"
"Radio Mirpur ","https://whmsonic.radio.gov.pk:8074/?type=http&nocache=9"
"Radio One FM 91","https://cc.vmakerhost.com/proxy/karachi?mp=/stream"
"Radio One FM 91 Gwadar","http://cc.vmakerhost.com:8147/stream"
"Radio Pak Filmi","https://s17.ssl-stream.com:2199/tunein/radiopak.pls"
"Radio Pakistan Bahawalpur ","https://whmsonic.radio.gov.pk:8092/relay?type=http&nocache=9"
"Radio Pakistan Hyderabad MW 1008 KHz","https://whmsonic.radio.gov.pk:8042/stream"
"Radio Pakistan Islamabad","https://whmsonic.radio.gov.pk:7003/stream"
"Radio Pakistan Lahore ","https://whmsonic.radio.gov.pk:8026/relay?type=http&nocache=9"
"Radio Pakistan Lahore News and Current Affair AM 1332 KHZ","https://whmsonic.radio.gov.pk:7004/stream?type=http&nocache=12"
"Radio Pakistan Multan ","https://whmsonic.radio.gov.pk:8034/stream?type=http&nocache=12"
"Radio Pakistan Multan MW","https://whmsonic.radio.gov.pk:8034/stream"
"Radio Pakistan Peshawar MW","https://whmsonic.radio.gov.pk:8072/relay"
"Radio Pakistan Quetta MW","https://whmsonic.radio.gov.pk:8060/relay"
"Radio Pakistan World Service","https://whmsonic.radio.gov.pk:7005/stream"
"Samaa FM 107.4","https://samaakhi107-itelservices.radioca.st/stream"
"SOUTUL QURAN PBC FM 93.4 ISLAMABAD","https://whmsonic.radio.gov.pk:7002/stream?type=http&nocache=12"
"Suno FM 89.4","http://110.93.246.72:8000/SUNO"
"VOA Urdu","http://stream.radiojar.com/zpd8p6fgq3quv"
"পাকিস্তান","https://whmsonic.radio.gov.pk:7005/stream?type=http&nocache=12"
