"Name","URL"
"	Polskie Radio Bialystok","http://stream4.nadaje.com:15476/radiobialystok"
" RADIO WIELKOPOLSKA","http://217.182.76.63:8000/webstream"
" Radio ZET Chilli ","https://ch.cdn.eurozet.pl/chi-net.mp3"
" super nova trzebnica","http://ic1.smcdn.pl/1510-1.mp3"
"4Music","https://s1.slotex.pl/shoutcast/7102/stream"
"Akademickie Radio Centrum UMCS","http://5.201.13.191/live"
"Akademickie Radio Kampus","http://193.0.98.66:8005/listen.pls"
"Akademickie Radio LUZ","http://stream.radioluz.pl:8000/luz_hifi.mp3"
"Akademickie Radio Luz 91.6","http://stream.radioluz.pl:8000/luz_hifi.mp3"
"Aniol Beskidów","http://media.aniolbeskidow.pl:22000/listen.pls?sid=1"
"Anty Radio","https://an.cdn.eurozet.pl/ant-web.mp3?t=1713710188361"
"Antyradio","https://n-4-2.dcs.redcdn.pl/sc/o2/Eurozet/live/antyradio.livx?audio=5"
"Antyradio Classic Rock","https://an01.cdn.eurozet.pl/ANTCLA.mp3?redirected=01"
"Antyradio Covers","http://an.cdn.eurozet.pl/ANTCOV.mp3"
"Antyradio Greatest","https://an02.cdn.eurozet.pl/ANTGRE.mp3"
"Antyradio Hard","https://an05.cdn.eurozet.pl/ANTHAR.mp3"
"Antyradio Made In Poland","https://an04.cdn.eurozet.pl/ANTPOL.mp3?t=1668748669557?redirected=04"
"Antyradio Makak","http://an.cdn.eurozet.pl/ANTMAK.mp3"
"Antyradio Unplugged","https://an05.cdn.eurozet.pl/ANTUNP.mp3"
"Antyradio Warszawa","https://an.cdn.eurozet.pl/ant-web.mp3?t=1703697029993"
"Ap Music","http://s3.slotex.pl:7008/stream"
"AWANGARDA.FM","https://stream.zeno.fm/mf9ewmbuaq8uv"
"BayerFM","https://streaming.radio5.com.pl:8888/bayerfm"
"BEST Radio (128Kbps)","http://stream.radiobest.eu:8000/128"
"BEST Radio (192Kbps)","http://stream.radiobest.eu:8000/192"
"Bohema Radio","http://s3.slotex.pl:7262/stream"
"Bonton Chełm","http://streaming.inten.pl:8022/bonton.mp3"
"Bonton Chełm 2","http://streaming.inten.pl:8022/bonton.mp3"
"Chilli Zet","https://ch.cdn.eurozet.pl/chi-net.mp3"
