"Name","URL"
"104.1 FM Redentor","https://livestreamcdn.net:2000/stream/Redentor104.1FM/stream"
"92.1 FM Estación de la Familia / Candelita7","https://stream.eleden.com:8320/laestaciondelafamiliapr.mp3"
"AZ Rock","http://cassini.shoutca.st:9300/stream"
"Catolica Radio","https://live.turadio.stream:7017/catolicaradiopr"
"Club One World","https://streams.radio.co/sa0b5d970a/listen"
"Echo 355","http://stream.zeno.fm/hssq9ydayf9uv"
"FM 96","http://149.56.155.73:8105/stream"
"Fuzed Club Radio","https://radio.fuzedclubradio.com/listen/fuzed_club_radio/stream"
"LA X94 - RADIO CRISTIANA","https://securestreams6.autopo.st:2128/stream"
"Radio Atenas 1500 AM","https://radioatenas-webctgena.radioca.st/stream"
"Radio Casa Pueblo","http://s1.voscast.com:9906/stream1523840050300/1"
"RADIO TROPICAL PR","https://cast.miradio.in/proxy/radiotropical/stream"
"RadioORO PR","https://us2.internet-radio.com/proxy/woro?mp=/stream"
"Spot Radio","https://c9.radioboss.fm/stream/141"
"Super K FM","http://grupomedrano.stream-audio.com:8856/SuperK"
"Vid 90","http://s3.voscast.com:7720/stream1726930102886/1"
"WALO 1240 ""Radio Oriental"" Humacao","http://68.235.35.243:9031/stream?type=.mp3"
"WKVM Radio Paz 810","http://us2.internet-radio.com:8085/"
"WPAB 550 PONCE","http://68.235.35.243:9059/stream"
"WRTU 89.7 Radio Universidad de Puerto Rico, San Juan","http://streaming.radiouniversidad.pr:8062/"
"WSKN Radio Isla1320 am","http://server7.servistreaming.com:10070/stream"
"WUNO 630 ""Noti Uno"" San Juan","http://68.235.35.243:9027/stream.mp3"
"WUPR Éxitos 1530","https://exitos1530.radioca.st/stream"
"Yunque93","http://server7.servistreaming.com:10021/stream?type=.mp3"
