"Name","URL"
"105.4 Cascais - O Rock da Linha","https://play.radioregional.pt:8220/stream/2//stream.mp3"
"4DJ 4Drive Jazz","https://radio.streemlion.com:4870/stream"
"4Drive Jazz","http://radio.streemlion.com:1150/stream"
"80ROCK","http://rs2.ptservidor.com:8003/stream?type=.mp3"
"91FM","https://sp0.redeaudio.com/9878/stream"
"92.2 KFM","https://s9.yesstreaming.net:9012/stream"
"94FM Leiria","http://185.11.164.106:35022/stream?type=mp3"
"97fm Rádio Clube de Pombal","https://centova.radios.com.pt/proxy/410?mp=/stream"
"A1","http://radiocast.rtp.pt/antena180a.mp3"
"ABC Portugal","http://centova.radio.com.pt:8547/"
"Alto Tamega FM","http://188.93.231.97:9300/"
"Alvor FM","http://centova.radio.com.pt:8469/"
"Antena 1 - Main","https://radiocast.rtp.pt/antena180a.mp3"
"Antena 1 Fado","http://radiocast.rtp.pt/antena1fado80a.mp3"
"Antena 2 - Main","https://radiocast.rtp.pt/antena280a.mp3"
"Antena 3 - Main","https://radiocast.rtp.pt/antena380a.mp3"
"Antena Livre","http://centova.radio.com.pt:9456/"
"Antena Livre de Gouveia","https://centova.radio.com.pt/proxy/456?mp=/stream"
"Antenna 2 Opera","http://radiocast.rtp.pt/antena2opera80a.mp3"
"Back to the 80s","http://s1.nexuscast.com:8135/"
"Basspoint FM","http://cast.evsportugal.com:8014/autodj"
"Cantinho dos Emigrantes","https://cast.redewt.net:9825/stream"
"Caria - Rádio Natal ","https://stream-57.zeno.fm/zb5w8yybqxhvv?zs=UFTgWO6XTcKToIndJPUT6w"
"Cascais FM 105.4","https://play.radioregional.pt:8220/stream/2//stream.mp3"
"Deep in Radio","http://s3.viastreaming.net:8525/"
"Diana FM","http://centova.radio.com.pt:9460/"
"Engenharia Rádio","http://engradio.fe.up.pt:8080/live?type=.mp3"
"Estação Diária","http://centova.radio.com.pt:9430/"
"Estádio 96.2","https://radios2.justweb.pt:8008/stream?type=http&nocache=65%20https://radios2.justweb.pt:8008/stream?type=http&nocache=65"
"Fama Rádio","http://digitalfm.dynu.com:8000/digitalfm64"
"FOQO","http://185.32.188.17:8003/stream"
"FUTURA - Rádio de Autor","https://s4.radio.co/s7e7b6c165/listen"
"Geice FM","https://ec2.yesstreaming.net:3275/stream"
"GoloFM","https://sp0.redeaudio.com/8154/stream"
"Gongas Radio","https://a6.asurahosting.com:7930/radio.mp3"
"Hiper FM","http://195.23.85.126:9500/"
"jovembsk","https://stream-42.zeno.fm/ppgb4k7vhqztv?zs=c_kj97VBTyuKVVdB2EEdEg"
"jovembsk mix","http://stream.zeno.fm/4nc1mzdp81xuv"
"JOVEMBSK MIX","http://stream.zeno.fm/4nc1mzdp81xuv"
"KLBS","https://www.klbs.com/stream.asx"
"La French Radio  Portugal","https://www.radioking.com/play/lfr-portugal"
"Lusophonica","https://stream.radiojar.com/dxkmh6hv1f8uv?1651072328"
"M 80 Rádio","https://stream-icy.bauermedia.pt/m80.mp3"
"M80 rádio","http://stream-icy.bauermedia.pt/m80.mp3"
"Mega Hits","http://provisioning.streamtheworld.com/pls/mega_hits.pls"
"Mega Hits - Lisboa","http://playerservices.streamtheworld.com/api/livestream-redirect/MEGA_HITS_SC"
"MetalON - The Heavy","https://radiometalon.com/radio/8000/radio.mp3"
"Monsanto","https://s9.yesstreaming.net:9029/"
"MRR Manitu Rock Radio","https://radio.streemlion.com:4515/stream"
"NiTfm","https://sp0.redeaudio.com/8028/stream/"
"novecinco3cinco","https://centova.radio.com.pt/proxy/522?mp=/stream&1715267171"
"On the Radio- Lisbon","https://cast3.asurahosting.com/proxy/mediawis/live"
"Onda Livre","https://centova.radio.com.pt/proxy/572?mp=/stream"
"Onda Nacional","https://cast.redewt.net:9823/stream"
"Orbital","https://ec2.yesstreaming.net:3025/stream"
"ORBITAL","http://centova.radios.pt:8401/listen.pls"
"Orbital FM","https://ec2.yesstreaming.net:3025/stream"
"Orbital Rádio","http://centova.radios.pt:8401/"
"Portugal Star","http://185.118.112.12:8028/live"
"Posto Emissor do Funchal (Canal 1 - OM)","http://centova.radio.com.pt:9422/"
"Posto Emissor do Funchal FM","http://centova.radio.com.pt:9426/"
"Posto Emissor do Funchal OM","https://centova.radio.com.pt/proxy/422?mp=/stream"
"Radar","http://proic1.evspt.com/radar_mp3"
"Rádio 5","https://radios.justweb.pt/8042/stream"
"Radio 94 FM","http://185.11.164.106:35022/stream"
"Rádio 94FM","http://185.11.164.106:35022/stream?type=mp3"
"Radio ADM","https://centova4.transmissaodigital.com:20014/stream.mp3"
"Rádio Altitude FM","http://centova.radios.pt:9034/"
"Rádio Alto Minho","https://ec2.yesstreaming.net:3705/stream"
"Rádio Amália","http://centova.radios.pt:9496/stream"
"Rádio Amor Portugal","https://stream.radioamorportugal.com:8443/rap.mp3"
"Rádio Ansiães","http://centova.radio.com.pt:8419/"
"Rádio Antena Livre","http://centova.radio.com.pt:8571/"
"Rádio Antena Minho","http://centova.radio.com.pt:9464/"
"Rádio Antena Nove","http://centova.radio.com.pt:8565/stream/1/"
"Rádio Atlântida","http://centova.radio.com.pt:8505/"
"Rádio Barca","http://centova.radio.com.pt:8483/"
"Rádio Barcelos","http://centova.radio.com.pt:8563/"
"Radio Cantinho da Madeira","http://109.71.41.6:8129/stream"
"Rádio CAPSAO","http://capsaolisboa.ice.infomaniak.ch/capsaolisboa-128.mp3"
"Rádio Castelo Branco","http://centova.radio.com.pt:9462/"
"Rádio Castrense","http://centova.radio.com.pt:8431/"
"Rádio Cidade Hoje","http://centova.radio.com.pt:8119/"
"Rádio Cister","http://centova.radio.com.pt:8453/"
"Rádio Clube da Feira","http://centova.radio.com.pt:9544/"
"Rádio Clube de Arganil","http://176.9.43.216:8135/stream"
"Rádio Clube de Grândola","http://link.radios.pt/rcg"
"Rádio Clube de Lamego","http://audio.ptisp.com:8110/"
"Rádio Clube de Mafra","https://centova.radio.com.pt/proxy/551?mp=/stream"
"Rádio Clube de Sintra","http://centova.radio.com.pt:8445/"
"Rádio Clube Foz do Mondego","http://nl.digitalrm.pt:8216/stream"
"Rádio Clube Madeira (106.8 FM)","https://audio.serv.pt/8020/stream.mp3"
"Radio Comercial Portugal","https://stream-icy.bauermedia.pt/comercial.mp3"
"Radio Commercial","https://stream-icy.bauermedia.pt/comercial.mp3"
"Rádio Condestável","http://centova.radio.com.pt:8427/"
"Rádio Cova da Beira","http://centova.radio.com.pt:8467/"
"Rádio do Concelho de Mafra","http://centova.radio.com.pt:8551/"
"Rádio Elmo","http://centova.radio.com.pt:8463/"
"Radio Fado de Coimbra","https://nl.digitalrm.pt:8048/stream"
"Rádio Felgueiras","http://centova.radio.com.pt:8459/"
"Rádio Festival","http://centova.radios.pt:9520/"
"Radio Festival do Norte","https://centova.radio.com.pt/proxy/520?mp=/stream?nocache=123456789"
"Rádio Festival do Norte","http://centova.radio.com.pt:9520/"
"Rádio Festival Madeira (98.4 FM)","https://audio.serv.pt/8012/stream.mp3"
"Radio FM","http://playerservices.streamtheworld.com/api/livestream-redirect/RFM.mp3"
"Rádio Foz do Mondego","https://nl.digitalrm.pt:8216/stream"
"Rádio Freguesia de Belém","https://s2.radio.co/s0ddea4a53/listen"
"Rádio Granada FM","http://centova.radio.com.pt:8549/"
"Rádio Horizonte Algarve","http://centova.radio.com.pt:9458/"
