"Name","URL"
"100% Reggaeton Radio","https://stream-148.zeno.fm/qmhf2yd9dm0uv"
"1140am Central Radio","https://stream.zeno.fm/blkeeuikomhvv"
"Cáritas AM 680","http://200.1.201.244:8000/680AM"
"CFA Radio","https://rds3.desdeparaguay.net:8002/cfa"
"Mix radio Sandro cd.s ","http://stream.zeno.fm/n6pcbk423rhvv"
"Radio ABC Cardinal 730 AM","http://sc.abc.com.py:8000/stream"
"Radio ABC FM 98.5","http://200.3.249.91:8000/abcradio/fm.mp3"
"Radio Capital 101.7 FM","http://ic2489.c1788.fastserv.com/stream"
"RADIO DRAC REMIX MUSIC FM ","https://stream.zeno.fm/qtbt6vqrta0uv"
"RADIO EXITOS DE AYER","http://stream.zeno.fm/hvnh6d5uebruv"
"RADIO MARIA PARAGUAY","http://dreamsiteradiocp.com:8090/stream"
"Radio Nacional del Paraguay 920 AM","http://audio.radionacional.gov.py:8085/920"
"Radio OBEDIRA Online","https://s17.ssl-stream.com/proxy/obedira?mp=/live"
"Radio Paz de Dios","http://stream.zeno.fm/t3enydk3z98uv"
"Radio Pop 93.3 FM","http://rps1.radiopop.com.py:8000/stream"
"Radio Siete 107.7 FM","https://rss1.siete.com.py:9433/stream"
"Radio Tu Voz","https://radiotuvoz.online/listen/radio_tu_voz_/radio.mp3"
"RADIO VALLENATOS CLÁSICOS","http://stream.zeno.fm/z07vyxbqz8quv"
"Radio ZP-30, La Voz del Chaco Paraguayo Stream","http://184.154.43.106:8019/stream"
"super radio","https://c32.radioboss.fm:8139/stream"
