"Name","URL"
". القارئ محمد أيوب ","https://qurango.net/radio/mohammed_ayyub"
".. مختصر التفسير ","https://qurango.net/radio/mukhtasartafsir"
"Dagher_","https://stream.zeno.fm/iafq9jbztjluv"
"Qabayan Radio 94.3 FM","https://c2.radioboss.fm:18478/stream"
"Radio Olive 106.3 - Jiyo Bindass","https://22733.live.streamtheworld.com/OLIVE1063.mp3"
"SUNO 91.7","https://playerservices.streamtheworld.com/api/livestream-redirect/SUNO917.mp3"
"Suno Malayalam FM","https://playerservices.streamtheworld.com/api/livestream-redirect/SUNO917.mp3"
"إذاعة طريق السلف

","https://airtime.salafwayfm.ly/"
"اذاعة القرآن الكريم","http://stream.radiojar.com/0tpy1h0kxtzuv"
"تفسير بن عثيمين رحمه الله","https://qurango.net/radio/tafseer"
