"Name","URL"
"Active Radio Bečej","http://active96-naxinacional.streaming.rs:8555/"
"Ami Naxi Radio Kikinda","http://185.119.88.88:8005/"
"Antena Krusevac","http://antenaradio.org:4560/stream.nsv"
"Antena Radio Bor","http://37.120.184.200:8018/"
"Antena Radio Kruševac","http://antenaradio.org:4560/listen.pls"
"B92","http://stream.b92.net:7999/radio-b92.mp3.m3u"
"BANKER","http://banker96-naxinacional.streaming.rs:8540/"
"Batiskaf Radio","https://srv.mediastriming.com/8008/stream"
"Bela Crkva","http://belacrkva32.streaming.rs:8140/listen.pls"
"Bravo FM 103.7MHz","http://91.221.134.252:8002/*.mp3"
"Bum Bum Radio","http://bumbum-stream.netlogic.rs:8000/listen.pls"
"Čivijaš Radio","https://media.srb-streaming.com/tunein/radio-civijas/stream/pls"
"Cool Radio","http://176.9.30.66/cool64"
"Cool Radio Serbia","http://live.coolradio.rs/cool320"
"Dasko i Mladja","http://172.105.250.193:8000/stream"
"Deluxe Radio","http://cmr-hosting.com:8408/*.mp3"
"Dženarika","http://stream.dzenarika.net:8000/stream"
"Egata Radio","http://stream.zeno.fm/kcn3b5gfuhruv"
"Fan Radio Bajina Basta","http://stream.fanradio.info:9000/stream.nsv"
"Focus Radio","https://streamer.radio.co/s34d2c17d8/listen"
"Folk Radio Beograd","http://usa6.fastcast4u.com:5010/stream"
"Fox Radio","http://stream.foxradio.rs:8545/stream.mp3"
"Gudalo i Struna","https://stream.zeno.fm/kpcnnvbdfjtvv"
"HIT FM Acoustic","http://streaming.hitfm.rs/acoustic.mp3"
"Internet Radio Pingvin","https://uzivo.radiopingvin.com/domaci1"
"JAT Radio","https://streaming.radiojat.rs/radiojat.mp3"
"Kiss FM","https://cast2.my-control-panel.com/proxy/kissdoog/stream"
"KLAS Radio","http://media.srb-streaming.com:9014/stream"
"Kragujevac Plaza Radio","http://109.206.96.18:8020/stream.nsv"
"Laguna","https://live.radiolaguna.rs/laguna"
"LiD Radio","http://213.239.205.210:8064/"
"Lotel Radio","https://s1.skeletor.rs/lotel"
"Lotel2","https://s1.skeletor.rs/lotel"
"Lux Naxi Radio","http://lux-naxinacional.streaming.rs:8605/listen.pls"
"Lux Radio","https://lux-naxinacional.streaming.rs:8607/"
"MB Radio","http://188.40.95.74:8100/"
"Moj Radio","https://eu4.fastcast4u.com/proxy/svidakov?mp=/1"
"Moj radio","http://eu4.fastcast4u.com:5692/"
"Mugadavanje","https://radio.mugadavanje.rs/listen/mugadavanje/mugadavanje"
"Muzicki Radio 101","https://as1.radioserveri.com:8090/radio.mp3"
"Muzički Radio Fan","http://stream.fanradio.info:9000/listen.pls"
"Narodni Fm Radio","http://195.252.68.166:8036/"
"Nas Radio 107,80 Zabalj","https://radio.dukahosting.com:7043/"
"NAS Radio 97.8","https://radio.dukahosting.com:7045/"
"Naxi - hype","https://naxidigital-hype128ssl.streaming.rs:8272/stream.nsv"
"Naxi 70-e 3","https://naxidigital-70s128ssl.streaming.rs:8382/"
"Naxi 70e","https://naxidigital-70s128ssl.streaming.rs:8042/"
"Naxi 80-e Radio","https://naxidigital-80s128ssl.streaming.rs:8042/"
"Naxi 90s","https://naxidigital-90s128ssl.streaming.rs:8282/stream.nsv"
"Naxi Active Radio","https://www.radioactive.rs/stream/Naxi_Active_Radio.pls"
"Naxi Adore","https://naxidigital-adore128ssl.streaming.rs:8332/stream.nsv"
"Naxi Blues","https://naxidigital-blues128ssl.streaming.rs:8312/stream.nsv"
"Naxi Boem Radio","https://naxidigital-boem128ssl.streaming.rs:8162/"
"Naxi Cafe Radio","https://naxidigital-cafe128ssl.streaming.rs:8022/"
"Naxi Chillwave","https://naxidigital-chillwave128ssl.streaming.rs:8322/stream.nsv"
"Naxi Classic Radio","https://naxidigital-classic128ssl.streaming.rs:8032/"
"Naxi Clubbing Radio ","https://naxidigital-clubbing128ssl.streaming.rs:8092/"
"Naxi Dance Radio","https://naxidigital-dance128ssl.streaming.rs:8112/"
"Naxi Evergreen Radio","https://naxidigital-evergreen128ssl.streaming.rs:8012/"
"Naxi Ex-Yu Rock Radio","http://naxidigital-exyurock128.streaming.rs:8400/"
"Naxi ExYu Radio","https://naxidigital-exyu128ssl.streaming.rs:8242/stream.nsv"
"Naxi Fitness","https://naxidigital-fitness128ssl.streaming.rs:8292/stream.nsv"
"Naxi Fresh Radio","https://naxidigital-fresh128ssl.streaming.rs:8212/stream.nsv"
"Naxi Gold Radio","https://naxidigital-gold128ssl.streaming.rs:8062/stream.nsv"
"Naxi House Radio","https://naxidigital-house128ssl.streaming.rs:8002/"
"Naxi Hype Radio","https://naxidigital-hype128ssl.streaming.rs:8272/"
"Naxi Jazz Radio","https://naxidigital-jazz128ssl.streaming.rs:8172/stream.nsv"
"Naxi Kids Radio","https://naxidigital-kids128ssl.streaming.rs:8052/"
"Naxi Kids SERBIA ","http://naxidigital-kids128.streaming.rs:8050/"
"Naxi Latino Radio","https://naxidigital-latino128ssl.streaming.rs:8232/stream.nsv"
"Naxi Lounge Radio","https://naxidigital-lounge128ssl.streaming.rs:8252/stream.nsv"
"Naxi Love Radio","https://naxidigital-love128ssl.streaming.rs:8102/"
"Naxi M Radio","http://www.mradiokv.com/stream/Naxi_M_Radio.pls"
"Naxi MAX","http://max96-naxinacional.streaming.rs:8530/stream.nsv"
