"Name","URL"
"	Европа Плюс","http://ep256.hostingradio.ru:8052/europaplus256.mp3"
" Invoice  радио","https://listen.myrh.ru/id079040"
" L-radio","https://air.unmixed.ru/lradio256"
" Radio Gameplay ","https://c22.radioboss.fm:8144/GamePlay"
" Radio Kontinental","http://stream01.radiocon.ru:8000/hum_tbk"
" Relax FM Chillout","https://pub0201.101.ru/stream/trust/mp3/128/24?"
" диполь","https://icecast-sibinformburo.cdnvideo.ru/dipolfm"
" Папино радио","http://a1.radioheart.ru:8001/RH58197"
" ПГТРК Радио 1 ","http://217.19.211.252:8022/Radio1"
" Радио Новороссия Rocks","http://212.66.37.34:8000/nrocks"
" Радио Столица","http://a1.radioheart.ru:8001/RH58197"
"[RockTime-Radio]","http://a9.radioheart.ru:8049/rocktime"
"1","https://stream.0nlineradio.com/schlager?ref=crystalmissions"
"100.3 FM","https://a2.radioheart.ru:8015/admin"
"101 ru enigmatic ","https://101.ru:8143/?date=201405&hash=1979c180fe0ba452a76f00d8a0f0c452&start=209"
"101,ru Russian Dance","https://pub0302.101.ru:8443/stream/trust/mp3/128/17?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpcCI6IjQ5LjM3LjE1MS42IiwidXNlcmFnZW50IjoiTW96aWxsYVwvNS4wIChYMTE7IExpbnV4IHg4Nl82NDsgcnY6ODguMCkgR2Vja29cLzIwMTAwMTAxIEZpcmVmb3hcLzg4LjAiLCJ1aWRfY2hhbm5lbCI6IjE3IiwidHlwZV9jaGFubmVsIjoiY2hhbm5lbCIsImV4cCI6MTYxODUwMTYyM30.vsWQ1s12RL1P3yuD4Eb6E2Og6YaLbXceO-cfhhhwl5s"
"101.ru - Deep House","https://pub0202.101.ru:8000/stream/trust/mp3/128/173"
"101.ru - House","https://pub0202.101.ru:8000/stream/trust/mp3/128/10"
"101.ru Techno","https://pub0302.101.ru:8000/stream/trust/mp3/128/18"
"101.ru Trance","http://pub0101.101.ru:8000/stream/trust/mp3/128/19?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpcCI6Ijc5LjI1My4xMy43MSIsInVzZXJhZ2VudCI6Ik1vemlsbGFcLzUuMCAoWDExOyBMaW51eCB4ODZfNjQ7IHJ2Ojk0LjApIEdlY2tvXC8yMDEwMDEwMSBGaXJlZm94XC85NC4wIiwidWlkX2NoYW5uZWwiOiIxOSIsInR5cGVfY2hhbm5lbCI6ImNoYW5uZWwiLCJleHAiOjE2MzY4ODYwMzJ9.0vfq2B5eNRtuEwE42pHUS9Sf_GosTmrQs0aHcPvbFj8"
"102.3 FM Хомякс Луганск","https://radio.play-fm.ru:8001/homyak"
"13-11","https://listen4.myradio24.com/svetoslav"
"161 FM","http://stream.161.fm:8000/256"
"161.fm","http://stream.161.fm:8000/128"
"16Bit FM CAFE Channel 192K stream#1 MOSCOW","http://16bitfm.com:8000/cafe_mp3_192"
"16BIT FM I.D.E.A. Channel 192K stream#1 MOSCOW","http://16bitfm.com:8000/idea_mp3_192"
"16Bit FM PRObeat Channel 192K stream#1 MOSCOW","http://16bitfm.com:8000/main_mp3_192"
"16Bit.FM Cafe","http://16bitfm.com:8000/cafe_mp3_128"
"2x2","https://radio-24.ru/audio2.php?url=http://95.104.192.220:8001/radio2x2.ogg"
"32 Radio","https://online.guberniya.tv:8443/32radio"
"333","https://myradio24.org/63361"
"4duk - ЧИПЛЬДУК","http://radio.4duk.ru/4duk128.mp3"
"50","https://radio-holding.ru:9433/50"
"50f.ru","https://myradio24.org/paradise"
"7Nevo","http://91.201.117.219:8000/stream"
"92.0 Москва FM","http://icecast.vgtrk.cdnvideo.ru:8000/moscowfm128"
"ABS ONE","https://a6.radioheart.ru:8002/RH486"
"ABSOLUT Park Radio","https://myradio24.org/absolutrad"
"Absolute Spitzer (Mixcult)","http://mixcult.net/assets/files/spitzer_mixcult_ambient_320_kbps.m3u"
"Alex","https://myradio24.org/walcon"
"Alex - Best Lounge Music","https://listen7.myradio24.com/avmarushak"
"alexets.ru","https://panel.alexradio.ru/listen/alexets.ru/radio.mp3"
"AlexFM Lets Rock","http://myradio24.org/2411"
"Alfa DNB","https://alfa.apachan.ru:8000/RoyalDrum"
"Alfa Radio Club","https://alfa.apachan.ru:8000/RoyalClub"
"Alfa Trance","https://alfa.apachan.ru:8000/RoyalTrance"
"Alfa Trap","https://alfa.apachan.ru:8000/RoyalTrap"
"Alfa.FM Lounge","https://193.33.170.218:8000/RoyalLounge"
"Alyaxen Radiostation","https://myradio24.org/alyaxen"
"AMBER-FM","https://listen2.myradio24.com/8770"
"AngelsRadio","http://channel.angelsradio.ru:9000/angels"
"Anison.FM","http://anison.fm/anison.m3u"
"Antidot","https://135.125.205.200:8443/main"
"Apex","https://listen2.myradio24.com/8068"
"Aplus.FM Beat","https://shoutcast.aplus.fm/aplus_beat_128"
"Aplus.FM Deep","https://shoutcast.aplus.fm/aplus_deep_128"
"Aplus.FM First","https://shoutcast.aplus.fm/aplus_128"
"Aplus.FM Progressive-Techno","https://shoutcast.aplus.fm/aplus_progressive-techno_128"
"Aplus.FM Relax","http://shoutcast.aplus.fm:9000/aplus_relax_128"
"Arena","https://a3.radioheart.ru:9038/RH60011"
"ART CITY","https://listen7.myradio24.com/artcity"
"ART City Radio","https://myradio24.org/artcity"
"ASMR","https://live.lofiradio.ru/asmr_mp3_320"
"Ataman FM","https://listen5.myradio24.com/ataman"
"Ataman.fm","https://myradio24.org/ataman"
"Atm FM","http://station-sound.ru:8000/pt-2?85341000"
"Atm.Fm","http://station-sound.ru:8000/pt-2"
"atmoradio","http://myradio24.org/atmo.m3u"
"Atmosfera","http://185.64.76.49:8000/128.m3u"
"Atmosfera 128","http://185.64.76.49:8000/128"
"Avtoradio 105.5 FM Serpukhov","http://77.73.90.46:1055/avtoradio"
"Avtoritetnoe Radio","https://streamer01.1028.fm:8443/arstream"
"BadBeatRadio","http://misato.ru-hoster.com:8061/badbeatradio"
"Baltiyskiy Bereg","http://91.203.171.138:8080/stream"
"Bananastreet","https://radio.bananastreet.ru/sound"
"BBZ BREAKBEATZONE","https://radio.bbz.ru/listen/bbz/192.mp3"
"Best","https://nashe1.hostingradio.ru/best-128.mp3"
"Best FM","http://nashe.streamr.ru/best-128.mp3"
"Beta Anon.FM","https://radio.anonymous.delivery/music.mp3"
"BFM.ru","https://bfm.hostingradio.ru:9075/fm"
"Big Noise","https://www.liveradio.es/http://radio.bignoise.club:8000/nonstop"
"Big Room","https://pub0302.101.ru:8443/stream/trust/mp3/128/220"
"BigTunesRadio -  Oldschool","https://bigtunesradio.com:8003/oldschool.mp3?1712236441774"
"BigTunesRadio - House","https://bigtunesradio.com:8003/house.mp3?1712236225331"
"BigTunesRadio - Trance","https://bigtunesradio.com:8003/trance.mp3?1712236520795"
"Biker FM","https://listen4.myradio24.com/69846"
"Blagodat FM","https://cosmos.blagofm.ru/listen/blagofm/radio.mp3"
"BleepLove Chiptune Radio","https://stream-152.zeno.fm/gyazcly9dfotv?zs=4n2MPkZJRImNtNA8HGWuFw"
"BLVCK STATION","https://relay2.radiotoolkit.com/blvckstation"
"BnP radio","https://radio.bnp-radio.ru/live"
"Bolshoe Radio","https://listen2.myradio24.com/8286"
"Bolshoye Radio","http://listen.myradio24.com:9000/8286"
"Borneo","http://live.borneo.ru:8888/128"
"breacore","https://radio.mosco.win/play"
"Breakcore Mashcore Radio.Mosco.win","http://radio.mosco.win:2082/play"
"Breaking Bass Air","https://aircast.breaking-bass.ru:8443/air"
"Brend","http://brendradio.com:8008/stream.nsv?1730127964096"
"Business FM","https://bfm.hostingradio.ru:9075/fm"
"Capital FM Moscow","http://icecast.vgtrk.cdnvideo.ru/capitalfmmp3"
"Cassiopea Station (Наука)","http://stream.cassiopeia-station.ru:1240/stream"
"Cassiopeia Station (Наука)","https://stream.cassiopeia-station.ru:1095/stream"
"Cassiopeia Station Радио","https://stream.cassiopeia-station.ru:5015/stream"
"CHANSON","http://chanson.hostingradio.ru:8041/chanson128.mp3?md5=2eMCvcYXPx0fjyorGnLWuw&e=1545675080"
"chanson","http://chanson.hostingradio.ru:8041/chanson256.mp3?md5=oVvCwE7WBb8Y7wl1S_2xCQ&e=1549278452"
