"Name","URL"
"90.7 Magic FM","http://listen.rba.co.rw:8080/"
"Country FM 105.7","https://radio.garden/api/ara/content/listen/neJlRqje/channel.mp3?1692198466055"
"DFM Radio ","https://stream.zeno.fm/mtrcigb9yhitv"
"DFM Radio (RW)","https://stream.zeno.fm/fygodpmrgcquv"
"DFM Radio Rwanda ","https://stream.zeno.fm/fygodpmrgcquv"
"Heaven FM Radio Rwanda","http://stream.zeno.fm/eequgfw72hhvv"
"KT Radio (96.7 MHz FM, Kigali)","http://197.243.1.130:8006/k2dlivemp3"
"Magic FM","http://listen.rba.co.rw:8080/"
"Radio 1","http://80.241.215.175:5000/"
"Radio Rwanda","http://listen.rba.co.rw:8000/"
"Radio10 Rwanda (87.6 MHz FM, Kigali)","http://radio10-876fm.ice.infomaniak.ch/radio10-kigali.mp3"
"Royal FM","http://80.241.215.175:3000/"
"Royal FM 94.3 Rwanda","http://80.241.215.175:3000/"
