"Name","URL"
". Al quran radio ","https://n0a.radiojar.com/0tpy1h0kxtzuv?rj-ttl=5&rj-tok=AAABhdgGORQA-2acfyF3_4WY2g"
"106,7 Rockklassiker","http://tx-bauerse.sharp-stream.com/http_live.php?ua=WEB&i=rockklassiker_instream_se_mp3"
"AORDreamer","http://178.33.33.176:8060/listen.pls"
"Bandit Alternative","http://wr05-ice.stream.khz.se/wr05_mp3"
"Bandit Classic Rock","https://wr11-ice.stream.khz.se/wr11_mp3"
"Bandit ÍRock","https://fm02-ice.stream.khz.se/fm02_mp3"
"Bandit Metal","http://wr03-ice.stream.khz.se/wr03_mp3"
"Bandit Rock","http://fm02-ice.stream.khz.se/fm02_mp3"
"Banjalučki Sevdah Radio Šeherčani","https://stream-172.zeno.fm/wazhcyi9ak5vv?zs=tApDLixiTGuqRhXqTfctZQ&1709234440014"
"Best of ericade.radio","https://radio.ericade.net/sc/stream/2/"
"Borås Närradio","http://lyssna.fnf.nu:8080/radioboras.mp3"
"Borås Närradioförening","http://lyssna.fnf.nu:8080/radioboras.mp3"
"BozRadio","http://streaming.live365.com/a80252"
"Country Rocks Radio","http://webradio.dbmedia.se/streams/crrMP3.pls"
"Dagnys Jukebox","https://www.dagnysjukebox.se/wp-content/uploads/listen.asx"
"Dansbandskanalen.se*","https://stream.dbmedia.se/dbkMP3"
"Disco 54","https://wr15-ice.stream.khz.se/wr15_mp3"
"DistFM – 100% ROCK!","http://185.80.220.12:2199/tunein/distfmsam192.pls"
"Dunken FM","http://stream.nsp.se:8000/DFM_MP3_Hi"
"FUN RADIO 95,3 Sweden","http://stream.funradio.se:81/live192"
"Gamla Favoritter","https://wr09-ice.stream.khz.se/wr09_mp3"
"Go Country","https://wr14-ice.stream.khz.se/wr14_mp3"
"Göteborgs Närradio 102.6 MHz","http://lyssna.fnf.nu:8080/gnf102.mp3"
"Göteborgs Närradio 103.1 MHz","http://lyssna.fnf.nu:8080/gnf103.mp3"
"Göteborgs Närradio 94.9 Mhz","http://lyssna.fnf.nu:8080/gnf094.mp3"
"Helsinborgs närradio","http://deb.patrikmalmgrenrask.se:8010/"
"HitMix90's","https://wr19-ice.stream.khz.se/wr19_mp3"
"Höganäs Närradio","https://deb.patrikmalmgrenrask.se:10443/"
"Julkanalen","http://fm10-ice.stream.khz.se/fm10_mp3"
"Linköpings närradio","https://stream.linkopingsnarradio.se:8005/radioprogram"
"LiveATC ESSL Twr/App/Control","https://www.liveatc.net/play/essl.pls"
"Lugna Favoriter Stockholm","http://fm03-ice.stream.khz.se/fm03_mp3?"
"Magic Radio","http://stream.magicradio.se/magic"
"Mix Megapol","http://tx-bauerse.sharp-stream.com/http_live.php?ua=WEB&i=mixmegapol_instream_se_mp3"
"Mix Megapol 104,3","https://live-bauerse-fm.sharp-stream.com/mixmegapol_instream_se_mp3"
