"Name","URL"
"Best FM Ljubljana","https://live.radio.si/BestFM"
"BestFM","https://live.radio.si/BestFM"
"Hit Radio Center (Ljubljana - 102.4MHz)","http://stream3.radiocenter.si:8000/center/1"
"Hitradio Center","http://stream2.radiocenter.si:8058/stream"
"Hitradio center 80's","http://stream3.radiocenter.si:8064/stream/1"
"Hitradio center fresh pop","http://stream3.radiocenter.si:8058/stream/1"
"Hitradio center latin","http://stream3.radiocenter.si:8200/stream/1"
"Hitradio center love","http://stream3.radiocenter.si:8060/stream/1"
"Hitradio center megamix","http://stream3.radiocenter.si:8066/stream/1"
"Hitradio center rock","http://stream.rockradio.si:9034/stream/1"
"Hitradio center top 100","http://stream3.radiocenter.si:9020/stream/1"
"Hitradio center yu","http://stream3.radiocenter.si:8100/stream/1"
"Infire.si radio","https://a1.asurahosting.com:10920/radio.mp3"
"Radio 1","http://live.radio.si/Radio1"
"Radio 1 - Maribor (107.9MHz)","https://live.radio1.si/Radio1"
"Radio 2","http://live.radio2.si/Radio2?1448457274706.mo3"
"Radio 94","http://77.38.12.198:8000/radio94"
"Radio Aktual","http://195.95.158.131:9080/"
"Radio Antena","http://live.radioantena.si/Antena"
"Radio Antena (105.2MHz)","https://live.radio.si/Antena"
"Radio BOB","http://live6.infonetmedia.si/Europa05"
"Radio Bob","https://live.radio.si/BOB"
"Radio Capris 80","http://stream02.exit.si:8000/80?"
"Radio Capris 90 DANCE","http://stream02.exit.si:8000/MEGAMIX?"
"Radio Capris 90 POP","http://stream02.exit.si:8000/90?"
"Radio Capris Dalmacija","http://stream02.exit.si:8000/DALMACIJA?"
"Radio Capris EX - YU","http://stream02.exit.si:8000/EXYU?"
"Radio Capris Hits","http://stream02.exit.si:8000/HITS?"
"Radio Capris ITALIA","http://stream02.exit.si:8000/ITA?"
"Radio Capris LOVE","http://stream02.exit.si:8000/LOVE?"
"Radio Capris POLETJE","http://stream02.exit.si:8000/POLETJE?"
"Radio Capris Rock","http://stream02.exit.si:8000/ROCK?"
"Radio Capris SLO","http://stream02.exit.si:8000/SLO?"
"Radio Celje","http://online-radio.eu/export/winamp/110935-radio-celje"
"Radio Center 80s","http://stream2.radioekspres.si:8064/stream"
"Radio City","https://stream1.radiocity.si/CityMp3128.mp3"
"Radio City (Maribor) 100.6 FM","http://82.149.22.34:8000/CityMp364mono.mp3"
"Radio City MB","http://82.149.22.34:8000/CityMp3128.mp3"
"Radio Expres","http://stream2.radioekspres.si:8016/stream?type=http&nocache=138"
"Radio Gorenc","http://stream.radiogorenc.si:8000/radiogorenc.mp3"
"Radio Hit","http://stream03.exit.si:8000/radiohit"
"Radio HIT Domzale","http://stream03.exit.si:8000/radiohit"
"Radio KRka","https://live.radio.si/Krka"
"Radio MARŠ","http://frekvenca.eu:8000/radiomars.mp3.m3u"
"Radio Maxi","http://live2.infonetmedia.si:8000/Maxi"
"Radio Meteor","http://eu1.fastcast4u.com:20052/stream"
"Radio Mister Deejay","http://stream.mister-deejay.com:9008/"
"RADIO NET FM","http://reflector.radionet.si:8000/stream.ogg"
"Radio Nula","https://strm.radionula.com/classics"
"Radio NULA - Classics","https://strm.radionula.com/classics"
"radio nula 2","http://streaming.radionula.com:8800/channel2"
"Radio Nula Beatz","https://strm.radionula.com/lounge"
"Radio NULA Beatz","https://strm.radionula.com/lounge"
"Radio Nula Classic","https://strm.radionula.com/classics"
"Radio Nula Classics","http://streaming.radionula.com:8800/classics"
"radio nula lounge","http://streaming.radionula.com:8800/lounge"
"Radio Nula Organic","https://strm.radionula.com/channel2"
"Radio NULA Organic","https://strm.radionula.com/channel2"
"Radio Ognjišče ","https://live.radio.si/ognjisce.mp3"
"Radio Ognjišče - mp3 stream","http://radio.ognjisce.si/ognjisce/iradio/ognjiscemp3.m3u"
"Radio Put Sreće ","https://stream.master-dizajn.com/8004/stream"
"Radio robin","https://live.radio.si/Robin"
"Radio Rogla","http://193.105.67.24:8010/?type=http&nocache=3804"
"Radio Roška","http://stream.zeno.fm/q7300aptbwzuv"
"Radio Salomon","http://84.52.138.44/Salomon"
"Radio Sora","http://radio-sora.si:8000/radio-sora.mp3"
"Radio Sraka","http://193.105.67.24:8006/"
"Radio Študent","http://kruljo.radiostudent.si:8000/hiq.m3u"
"Radio Student","http://kruljo.radiostudent.si:8000/ehiq"
"Radio Študent","http://kruljo.radiostudent.si:8000/loq.m3u"
"Radio Student","http://kruljo.radiostudent.si:8000/hiq"
"Radio Terminal","https://air.radioterminal.si/live"
"Rádio Timea","http://evcast.mediacp.eu:1480/stream"
"Radio Tomi","http://93.103.130.12:8080/tomi.mp3"
"Radio Triglav","http://live.radiotriglav.si/Triglav"
"Radio Veseljak","http://195.95.158.131:9060/"
"Radio Veseljak-Pumpa","http://live.radio.si/VeseljakPumpa"
"Radio Zica","http://live.1chi.si/zica"
"Retro Radio","https://zvok.ragla.si/gr?1670057106819"
"Rock Maribor","http://live.rockmaribor.si/RockMB"
"Rock Radio","https://stream.nextmedia.si/proxy/rockr1_1?mp=/rock"
"ROCK RADIO SI","http://stream.rockradio.si:9034/"
"Toti Radio","https://live.radio.si/Toti"
"Univox","https://solid33.streamupsolutions.com/proxy/vtmpasiq?mp=/stream"
"Zeleni val","https://jurepeterka.radioca.st/stream"
