"Name","URL"
"	Fun Radio","http://stream.funradio.sk:8000/fun128.mp3"
"BB FM rádio","http://stream.bbfm.sk/bbfm128.mp3"
"Československé radio ","http://live.topradio.cz:8000/csradio128"
"Detské rádio","https://stream.21.sk/detskeradio-192.mp3"
"Detské Rádio","http://stream.21.sk/detskeradio-192.mp3"
"Duflo Radio","http://stream.zeno.fm/kxwhyvz2fm0uv"
"Europa 2 ","https://stream.bauermedia.sk/europa2.mp3"
"Europa 2","https://stream.bauermedia.sk/europa2.mp3"
"Fit Famili Rádio ","https://solid1.streamupsolutions.com/proxy/utwrguip/stream"
"Fred Film Radio-25 Slovenčina","https://s10.webradio-hosting.com/proxy/fredradiosk/stream"
"FRESH Rádio ","https://icecast2.radionet.sk/freshradio.sk"
"FRESH rádio","https://icecast2.radionet.sk/freshradio.sk"
"Fun Radio","http://stream.funradio.sk:8000/fun128.mp3"
"Fun Radio  Chill","https://stream.funradio.sk:8000/chill128.mp3"
"FUN RÁDIO 80-90","http://stream.funradio.sk:8000/80-90-128.mp3"
"Fun Radio 80&90","http://stream.funradio.sk:8000/80-90-128.mp3"
"Fun Radio CZ","http://stream.funradio.sk:8000/cs128.mp3"
"FUN RÁDIO DANCE","http://stream.funradio.sk:8000/dance128.mp3"
"Fun Radio Dance","http://stream.funradio.sk:8000/dance128.mp3"
"FunRadio Live ","http://stream.funradio.sk:8000/funpgm256.mp3"
"FunRadio Live (256kbps)","https://stream.funradio.sk:8000/funpgm256.mp3"
"Funrádio Mileniálky","http://stream.funradio.sk:8000/milenialky128.mp3"
"G-Radio","http://88.212.34.18:8050/mp3midband"
"Hitrádio Slovakia","https://hitradioslovakia.stream.laut.fm/hitradioslovakia"
"House Radio","http://stream.zeno.fm/qm8e21gta18uv"
"Infovojna","http://stream3.infovojna.bz:8000/live"
"janko hraško","http://78.24.9.110:31088/"
"Kosice International ATC","https://www.liveatc.net/play/lzkz.pls"
"mars dance","https://stream-153.zeno.fm/683gf5xrxfeuv?zs=gtI4gERBSUGu8f0FOcDOWw&1686916511841"
"METALSCENA netRADIO","https://listen.radioking.com/radio/263218/stream/308365"
