"Name","URL"
"Afia FM 93.0 Dakar","https://stream.zeno.fm/skjrn6kzzxptv"
"Bamtaare Dowri FM 92.5 Vélingara","https://stream.zeno.fm/yy3w3qfpg48uv"
"Bamtaare FM 103.4 Dodel","https://stream.zeno.fm/n1mugn1am1duv"
"Buuñaa FM 91.9 Mampatim","https://stream.zeno.fm/3bfe81fn0c9uv"
"Dakar Musique","http://listen.senemultimedia.net:8090/stream"
"Diassing FM 93.9 Marsassoum","https://stream.zeno.fm/veaguaqvvk8uv"
"FM Sénégal 103.1 Dakar","https://stream-154.zeno.fm/t8gcyq6ts0quv"
"Gabou FM 106.4 Sédhiou","https://stream.zeno.fm/xtvgwt362k8uv"
"GMS FM 89.3 Ziguinchor","https://myfm.acan.group/radio/8140/radio.mp3?1690707378"
"H24","http://listen.senemultimedia.net:8070/stream"
"H24 Senegal","https://listen.senemultimedia.net:8072/stream"
"Hounaré FM 95.9 Cas-Cas","https://stream.zeno.fm/h961gztkns8uv"
"iRadio Senegal","https://listen.radioking.com/radio/250102/stream/294397"
"Kaabala FM 97.9 Orkadiéré","https://stream.zeno.fm/uf8pustovp0vv"
"Kaolack Online","https://stream.zeno.fm/51taadp6wp9vv"
"Love FM 107.3 Dakar","https://stream.zeno.fm/7cru7g7rcwzuv"
"Manooré FM 89.4 Dakar","https://stream.zeno.fm/sad0xwh0mg8uv"
"Mbour FM 96.5","https://stream.zeno.fm/n9z8nz4yvchvv"
"Metraf FM 103.7 Dakar","https://stream.zeno.fm/66yrv69ffv8uv"
"Or FM 89.6 Orkadiéré","https://stream.zeno.fm/gy7fpc2am1duv"
"Pete FM Yeewti Fuuta 102.0","https://stream.zeno.fm/hudhkd8to6xuv"
"Radio Al Fayda 90.1 Kaolack","https://usa5.fastcast4u.com/proxy/lyartech?mp=/stream/1/"
"Radio Dakar City","https://listen.senemultimedia.net:8002/stream"
"Radio Fulbe FM 102.6 Dakar","https://stream.zeno.fm/e0grbn8e3rquv"
"Radio Keur Massar","https://stream.keurmassar.info/"
"Radio Oxy Jeunes 103.4 Pikine","http://s9.voscast.com:7994/stream.nsv"
"Radio RMI Mojjila Info","https://stream.zeno.fm/5qjahl1jotrvv"
"Radio Thiossane","https://listen.senemultimedia.net:8112/stream"
"Rewmi FM 97.5 Dakar","https://stream-61.zeno.fm/nkzsqg16t8quv"
"RTS Matam 89.1","https://stream.zeno.fm/kxud8vhqt1duv"
"RTS Radio Ziguinchor","https://stream.zeno.fm/ua9aunfqt1duv"
"RTS Tambacounda 92.0","https://stream.zeno.fm/nqxg7p8pt1duv"
"Sud FM Sen Radio","http://stream.zenolive.com/rq40edfn3reuv"
"Sweet Radio","https://stream.zeno.fm/jemecjfbczhuv"
"Tawfekh FM","https://stream.zeno.fm/aevnaykn64zuv"
"Tewdu FM 94.0 Diaoube","https://stream.zeno.fm/wnv7ahdvt98uv"
"Timtimol FM 91.9 Ourossogui","https://stream.zeno.fm/4yx608hnu1duv"
"Top FM 97.8 Dakar","https://stream.zeno.fm/sys3pbxmhklvv"
"Trade FM 88.1 Dakar","http://tradefm.ice.infomaniak.ch/tradefm-192.mp3"
"UCAD FM 94.7 Dakar","https://stream.zeno.fm/b38a68a1krquv"
"Vélingara FM 95.8","https://stream.zeno.fm/hu2u9pb0mfhvv"
"Waar Fi FM 104.9 Sébikhotane","https://stream.zeno.fm/rmg4rfewweruv"
"Walo FM 90.3 Dagana","https://stream.zeno.fm/9ap6q2unephvv"
"West Africa Democracy Radio","https://westafricademocracyradio.ice.infomaniak.ch/westafricademocracyradio.mp3?download=false"
"Zig FM 100.3 Kolda","https://stream.zeno.fm/akh0t25nc18uv"
"Zig FM 100.8 Ziguinchor","https://stream.zeno.fm/zfdk0c69d3quv"
