"Name","URL"
".. مختصر التفسير ","https://qurango.net/radio/mukhtasartafsir"
"Al Aan FM","https://c20.radioboss.fm:8543/stream"
"AL MADDINA FM","https://stream.almadinafm.com/stream.mp3"
"Arta FM","http://edge.mixlr.com/channel/qtgru"
"Arta Radio","http://edge.mixlr.com/channel/qtgru"
"Asima Online Radio","https://asima.out.airtime.pro/asima_a"
"denge cudi","https://denge-cudi.stream.laut.fm/denge-cudi?pl=m3u"
"Denge Qamishlo","https://dengeqamishlo.stream.laut.fm/dengeqamishlo"
"Emaar FM Radio","https://stream-149.zeno.fm/4luag56o066uv"
"Exclusively Meat Loaf","https://streaming.exclusive.radio/er/meatloaf/icecast.audio"
"Farah FM","http://167.114.3.184:8000/"
"Melody FM 97.9 Syria","http://streaming.inet.sy:8000/melodyfm"
"Melody FM Syria","http://streaming.inet.sy:8000/melodyfm"
"Mix FM Syria","https://stream.mixfmsyria.net/stream.mp3"
"Ninar Radio","http://ninarfm.grtvstream.com:8896/"
"sham fm","http://radioshamfm.grtvstream.com:2199/tunein/shamfm.pls"
"Sham FM","https://radioshamfm.grtvstream.com:8400/"
"Watan FM (Idlib, Hama, Halab)","http://192.99.170.8:5470//stream.mp3"
"قديم FM","http://usa6.fastcast4u.com:5109/live"
"لا القارئ محمد أيوب ","https://qurango.net/radio/mohammed_ayyub"
"نجوم اف ام","http://185.105.4.53:4423/stream.mp3"
