"Name","URL"
"101.5 Chula Radio","http://radio11.plathong.net:7590/stream.mp3"
"102.5 Get FM","https://radio12.plathong.net/7172/stream"
"106 Family News Radio","https://radio11.plathong.net/7138/stream.mp3"
"666 Radio Station Khonkaen - FM 90.75","http://media.login.in.th:8845/"
"90 rakthai","http://radio11.plathong.net:8896/stream.mp3"
"90.5 Smart News มิติข่าว","http://live3.smartbomb.co.th:8624/stream.mp3"
"91.5 FM Panzer Radio Station","http://radio.servradio.com:9398/stream.mp3"
"94 Bangkok Smile","http://fm94.tv5.co.th:8000/fm94ch3"
"Ban Kruat FM 99.25 MHz บ้านกรวดเวิลด์ ","http://lnwradio.hostsevenplus.com:9564/"
"BigFM RadioSocial","http://media.login.in.th:8195/stream.mp3"
"Bluewave 97","https://80sv2.hostpleng.com/?url=http://112.121.151.133:8109/stream"
"Bluewave 97 (CR)","http://112.121.151.133:8109/live"
"City Radio Pattaya","https://streaming.thaismarthost.com:8020/ctmobile.mp3"
"cityradio pattaya","https://streaming.thaismarthost.com/radio/8020/ctmobile.mp3"
"Cool fahrenheit","https://coolism-web.cdn.byteark.com/stream/1"
"Cool Fahrenheit","https://coolism-web.cdn.byteark.com/stream/1"
"Cool fahrenheit","https://coolism-web3rd.cdn.byteark.com/stream/1/"
"COOLISM","https://coolism-web.cdn.byteark.com/stream/1"
"Fabulous 103","https://fabulous.thailandstreaming.net/fabulous.mp3"
"FM 91","https://www.fm91bkk.com:8900/stream.mp3"
"FM ONE","https://apps4.mcot.net/stream578.aac"
"Friends Bangkok","http://210.1.60.244:8000/FriendsBangkok"
"Huahin Radio Thailand","https://inter1.plathong.net/7008/stream.mp3"
"Isan FM 98","http://radio11.plathong.net:8900/stream.mp3"
"JS 100","http://103.246.19.203:8004/listen.pls?sid=1"
"JS100","http://103.246.19.203:8004/stream?type=http&nocache=145"
"Looktung Eing","https://inter.lannaradio.com/radio/8000/radio.mp3"
"Looktung Eingdoi","https://inter.lannaradio.com/radio/8000/radio.mp3"
"Mcot Radio Buriram 92.0 FM","http://rstream.mcot.net:9050/"
"MCOT อุดรธานี","http://rstream.mcot.net:9044/.mp3"
"Metro Radio 90.5 Khon Kaen","http://radio4.thzhost.com:4114/"
"Mommaemradio","http://112.121.150.133:9386/autodj"
"Rad Radio","http://radio1.serverradio.net:8592/?type=http"
"requestradio","http://27.254.142.208:8300/"
"RequestRadio Dance","https://cast.requestradio.in.th:850//stream/3"
"RequestRadio Inter","https://cast.requestradio.in.th:840//stream/3"
"requestradio String","https://cast.requestradio.in.th:2199/tunein/shoutcast1.pls"
"RequestRadio เพื่อชีวิต","https://cast.requestradio.in.th:830/stream/"
"requestradio/looktung/","http://27.254.142.208:8300/"
"Sunshine Radio","http://c1.hostpleng.cloud:8046/live"
"Sunshine Radio Pattaya","http://c1.hostpleng.cloud:8046/live"
"บ้านธัมมะ","https://radio10.plathong.net/7238/stream.mp3"
"มิติข่าว 90.5","http://live3.smartbomb.co.th:8624/stream.mp3"
"ล้านนา เรดิโอ ","https://inter.lannaradio.com/radio/8000/radio.mp3"
"ลานนาเรดิโอ","https://inter.lannaradio.com/radio/8000/radio.mp3"
"ลูกทุ่ง รักไทย ๙๐","http://radio11.plathong.net:8896/stream.mp3"
"ลูกทุ่งเน็ตเวิร์ค","http://media.login.in.th:8200/stream.mp3"
"วัดปากบ่อ","http://radio1.siamlivehost.com:8001/"
"วัดป่าไทรงาม","https://radio10.plathong.net/7110/stream.mp3"
"วิทยุวัดนายโรง","http://103.7.56.219:4106/"
"วิทยุเสียงอิสลาม","https://radio12.plathong.net/7234/stream.mp3"
"สวพ.91","http://122.155.16.48:8955/stream.mp3"
"สังฆทานธรม","https://cdn-th2.livestreaming.in.th/shoutcast/8615"
"สังฆทานธรรม","https://cdn-th2.livestreaming.in.th/shoutcast/8615"
"เพื่อชีวิต","https://cast.requestradio.in.th:830/stream/"
"ไทยลานนาเรดิโอ FM 106.5 จังหวัดตาก","https://inter.lannaradio.com/radio/8000/radio.mp3"
