"Name","URL"
" GİMSA RADYO","http://yayin1.canliyayin.org:9482/stream"
".Al quran radio ","https://n0a.radiojar.com/0tpy1h0kxtzuv?rj-ttl=5&rj-tok=AAABhdgGORQA-2acfyF3_4WY2g"
"101.1Megasite","http://37.247.98.8/stream/30/"
"102.1 Arabeskin Merkezi Fm","https://canli.arabeskinmerkezi.com:9180/listen.pls"
"90lar turkey","http://37.247.98.8/stream/166/"
"AFN 360 Incirlik","http://playerservices.streamtheworld.com/m3u/AFNE_ICK.m3u"
"Alef fm mardin","https://shoutcast.shemamedia.com:9040/alef"
"ALTIN SARKILAR","http://37.247.98.8/listen.pls?sid=25"
"Ankara Havalari","http://37.247.98.8/listen.pls?sid=30"
"Arkadas Radyo","http://yayin2.yayindakiler.com:4134/stream.nsv"
"Axa Rojava","https://stream.zeno.fm/h6mn2c8ha8zuv"
"Azadi Fm","https://amed.ozelip.com/8040/"
"baba radyo","http://officialbabaradyo.radyotvonline.net/babaofficial"
"Banadabi Çocuk Radyosu","https://radyo.googleservis.com/listen/cocukradyosu/radio.mp3"
"Best Fm","http://46.20.7.126/stream.mp3"
"BesteFM","https://server35971.streamplus.de/stream.mp3"
"BRTK","http://sc.brtk.net:8000/"
"DAMAR TURK FM","https://live.radyositesihazir.com:10997/"
"Damar Turk FM","https://live.radyositesihazir.com:10997/"
"Damarın Merkezi Fm","https://canli.arabeskinmerkezi.com:9180/listen.pls"
"DamarTurk FM","https://live.radyositesihazir.com:10997/stream?type=http&nocache=99881"
"Danceland","https://likeradiostream.com/danceland"
"DanceLand Anthems","https://likeradiostream.com/dancelandanthems"
"Denge Gundeme","http://kesintisizyayin.com:1656/"
"Denge Mef","https://dengemed.stream.laut.fm/dengemed"
"Denge Welat","https://dengegel-rojavaradio.radioca.st/stream"
"Dijital radyo","https://anadolu.liderhost.com.tr:10961/"
"dinamo.fm caffe","http://channels.dinamo.fm/caffe-mp3"
"dinamo.fm deep","http://channels.dinamo.fm/deep-mp3"
"dinamo.fm discotheque","http://channels.dinamo.fm/discotheque-mp3"
"dinamo.fm fluent","http://channels.dinamo.fm/fluent-mp3"
"dinamo.fm legacy","http://channels.dinamo.fm/legacy-mp3"
"dinamo.fm locodyno","http://channels.dinamo.fm/locodyno-mp3"
"dinamo.fm sleep","http://channels.dinamo.fm/sleep-mp3"
