"Name","URL"
"95 the ultimate one","https://www.radiomast.io/stream/aae72a18-3fa0-4b9a-a4c4-5a19655e1c68/listen"
"Freedom FM 106.5","https://media.slactech.com:8012/stream?1597658711680"
"JO Radio HD","https://stream.zeno.fm/xw3tbfhzftzuv"
"LIT 102.3FM","https://s8.yesstreaming.net:17106/stream"
"Next 99.1FM","https://media.streambrothers.com:8442/stream"
"Real Radio Trinidad & Tobago - Arima","http://streaming.radio.co/s3928a1fef/listen"
"Slam 100.5","https://www.radiomast.io/stream/68540e88-54b8-4924-b098-5a668f7da7b6/listen"
"Talk City 91.1 FM","https://media.streambrothers.com:8450/stream"
"Trinidad TTPP Air Traffic Control","http://www.liveatc.net/play/ttpp_twr.pls"
"Vibe CT (Port of Spain)","https://streams.radiomast.io/c35d311e-cc60-41b9-b0c5-339e62c14dee"
"Woods Hit Radio ","https://stream.zeno.fm/2f33725t4mzuv"
