"Name","URL"
"Capital Radio","https://capitalradio.radioca.st/stream"
"Christian FM Radio","http://stream.zeno.fm/eequgfw72hhvv"
"Clouds FM","http://eu6.fastcast4u.com:5306/"
"Daniel Edward ","http://stream.zeno.fm/ex6ng25chfhvv"
"Deliverance Radio ","https://stream.zeno.fm/mtrcigb9yhitv"
"DFM Radio ","https://stream.zeno.fm/fygodpmrgcquv"
"Dodoma FM","https://radiotadio.co.tz/dodoma-fm-stream"
"East Africa Radio FM","https://eatv.radioca.st/stream"
"Heaven FM Radio","http://stream.zeno.fm/eequgfw72hhvv"
"Heaven Radio","http://stream.zeno.fm/eequgfw72hhvv"
"ImbaNasi","https://stream.zeno.fm/dsfhivkawjiuv"
"Ishizwe FM ","https://stream.zeno.fm/zhhawbqoikatv"
"Kipiti Radio","http://stream.zeno.fm/7ebq5q3tcv8uv"
"Magic FM Dar es Salaam","https://stream.rcast.net/69241/"
"Mungu Kwanza Radio","https://mungukwanza.radioca.st/"
"Nuru FM","https://radiotadio.co.tz/nuru-fm-stream"
"Radio Kwizera","http://uk4-vn.mixstream.net:8052/listen.mp3"
"Radio Mbiu","http://dreamsiteradiocp5.com:8004/stream.mp3"
"Radio Ngamia","http://stream.zeno.fm/41e3gsdgmdouv"
"Radio One Stereo","https://radioonetanzania.radioca.st/stream"
"street One radio","http://stream.zeno.fm/d3as2fmadnruv"
"sunsee fm","https://stream.zeno.fm/pjyrau0imf3uv"
"Tzgospel Radio","https://stream.zeno.fm/ex6ng25chfhvv"
"Wasafi FM","http://radio.wasafimedia.co.tz:8000/wasafi-fm"
