"Name","URL"
"1] Авторадіо","https://cast.mediaonline.net.ua/avtoradio"
"103.7 Da Beat","http://s1.voscast.com:8580/"
"106.5 Kiss FM","https://online.kissfm.ua/KissFM_HD"
"109FM","https://solid48.streamupsolutions.com/proxy/cfujtbgw/109fm"
"7 Rays Radio","https://7rays.stream.laut.fm/7rays"
"Armija FM","http://212.26.132.129:8000/ArmyFM"
"Avtoradio","https://cast.mediaonline.net.ua/avtoradio"
"Ax Radio!","https://m.axradio.net/stream.mp3"
"Best FM","https://radio.perec.fm/bestfm"
"Blits FM","https://stream.blits-fm.ua/stream320"
"Blues & Rock Radio","http://stream.laut.fm/bluesrock"
"Classic Radio Ukraine","https://online.classicradio.com.ua/ClassicRadio"
"coma.fm","https://stream.radio.co/s4360dbc20/listen"
"Deep House Sunset Mix🇺🇦","http://prmstrm.1.fm:8000/deephouse"
"DJFM DANCE","https://cast.brg.ua/djfmdance_main_public_mp3_hq"
"DJFM.UA [MP3 256k]","https://cast.fex.net/djfm_x"
"Europa Plus","https://s5.radioforge.com:7908/live?n=77357"
"FM Disco Melody","https://online.melodiafm.ua/MelodiaFM_Disco"
"Fresh Rock","http://ua.freshrock.net:8000/mp3-320"
"Galychyna","https://stream320.galychyna.fm/WebSite"
"Garmonia Mira","https://garmonia-stream.fakel.com.ua/1"
"Harry Potter fan","https://raw.githubusercontent.com/dpodyachev/m3u/main/harry/harry.m3u"
"Hit FM","http://195.95.206.17/HitFM"
"HIT FM","http://online.hitfm.ua/HitFM"
"Hit FM (Best)","http://online.hitfm.ua/HitFM_Best"
"Hit FM (Modern hits)","http://online.hitfm.ua/HitFM_Top"
"Hit FM (UKraine) - 128kb/s","http://195.95.206.17/HitFM"
"Holos.FM","http://holos.fm:8000/holos"
"Hromadske Radio","http://91.218.212.67:8000/stream"
"Informator FM","https://main.inf.fm:8101/?type=http&nocache=221893"
"islndradio","https://s3.radio.co/sa3e464c40/listen"
"Jazz FM 104.6","http://online.radiojazz.ua/RadioJazz"
"Kharkif Surf Rock","http://stream-172.zeno.fm/td4yedynbwzuv"
"Kiss FM","https://online.kissfm.ua/KissFM_HD"
"Kiss FM 106.5","http://online.kissfm.ua/KissFM"
