"Name","URL"
"102.3 FM CORONILLA","https://streaming01.shockmedia.com.ar/9184/stream"
"24 de Agosto","https://24deagosto-zikoxweb.radioca.st/stream"
"89.3 Del Molino FM","http://stream.zeno.fm/8s61u5bvlvytv"
"90.3 FM DEL ESTE","http://usa15.ciudaddigital.com.uy:8010/DelEsteFM"
"970 Universal","https://970universal-3.nty.uy/"
"Aire FM 100.3 FM","https://airefm-1.nty.uy/:8030/"
"Alfa FM","https://rfm.radio.netgate.com.uy:8443/alfafm"
"Alfa FM 96.3","http://radioonline.netgate.com.uy:8000/alfafm"
"Amatista FM 90.7","http://usa15.ciudaddigital.com.uy:8044/AmatistaFM"
"ARAPEY (AM 1450)","http://emisiones.com.uy:8085/arapey"
"Armonía FM 92.5","http://usa15.ciudaddigital.com.uy:8132/ArmoniaFM"
"Azul FM 101.9","https://azul-2.nty.uy/"
"Babel","https://radios.iwstreaming.uy/8030/stream"
"Cadena del Mar","https://streamingraddios.online/proxy/cadena?mp=/stream&1669851387477"
"Cadena del Mar 106.5 FM","http://streamingraddios.online:9455/"
"Casino FM (Paysandú) 96.3","https://audio-edge-w4d68.yul.o.radiomast.io/dc38795c-3ef6-44b1-b861-97821b234e1d"
"Casupá FM 94.1","https://stm1.ifantasy.com.br:7256/"
"Cien Punto Cinco","http://emisiones.com.uy:8143/cien"
"Clásica 650 AM","https://radios.iwstreaming.uy/8032/stream"
"Columbia FM 88.5","https://stm.gmpro.top:7008/"
"Conaicop","http://stream.zeno.fm/w5k0y0qbft5tv"
"Concierto FM 95.1","https://conectperu.com/8012/stream"
"CX 10 Continente","http://cx10continente.com:8152/"
"CX 30 Radio Nacional","https://a1.asurahosting.com:8650/radio.mp3"
"CX 40 Radio Fenix","https://sp3.servidorrprivado.com/8070/"
"CX 46 Radio America ","https://america-2.nty.uy/stream"
"CX 580 Radio Rural","https://radiolatina.live/9206/stream"
"CX12 Radio Oriental 770 AM","http://radiolatina.live:7906/1"
"CXC - 253A ADEOM FM 98.5","http://158.106.131.228:9080/"
"Del Sol FM","https://delsol-1.nty.uy/?type=http&nocache=2780&dbl=0"
"Diamante FM 98.7","https://radiolatina.live/8058/stream"
"DifusoraSoriano 1210 AM","http://usa15.ciudaddigital.com.uy:8094/DifusoraSoriano"
"El Espectador 810","https://espectador-1.nty.uy/"
"El Libertador","https://streamingraddios.online/proxy/llamadad?mp=/stream"
"El Libertador 1210 AM","https://streamingraddios.online/proxy/llamadad?mp=/stream"
"El Puente FM 103.3","https://as100.globalhost1.com/8082/stream"
"El Shaddai MIHA Online ","https://stm2.livecastradio.com:20160/stream/"
"Emisora del Sur","https://radios.iwstreaming.uy/8034/stream"
"Emisora Galaxia FM 105.9","https://stream.zeno.fm/7pgbbcnpvgkuv"
"Emisora Principal","https://s7.myradiostream.com/10764/listen.mp3?ver=755704"
"ESPACIO SPORT 91.5 FM","https://medios.ciudaddigital.com.uy:18098/EspacioFM"
"Espika FM 90.7","https://stream.radios.red/espikafm.mp3"
"Esteña FM 103.1","https://radiopro.com.uy/radio/8060/estena"
"Federal FM 99.1","http://usa15.ciudaddigital.com.uy:8040/FederalFM"
"Felicidad - AM 1240","http://medios.ciudaddigital.com.uy:8042/Felicidad"
"FM Azul","https://azul-1.nty.uy/"
"FM cordialidad 94.9","https://cordialidad-zikoxweb2.radioca.st/stream"
"FM del Carmen 105.3","http://radios-online.info:2930/"
"Fm Gente","https://cast1.asurahosting.com/proxy/luis1/stream"
"FM HIT 90.3 Uruguay","https://hit-1.nty.uy/stream"
"Fm Inolvidable 93.1","https://inolvidable-2.nty.uy/"
"Impacto FM - Fray Bentos","https://a3.asurahosting.com:7740/radio.mp3"
"INOLVIDABLE FM","https://inolvidable-1.nty.uy/"
"La Clave Uruguay 92.9 FM","https://stream-151.zeno.fm/ndwvn44vebruv?zs=gsCKxmQESE6hL5yVzBYFAA"
"La Costa Fm 88.3","https://lacostafm-2.nty.uy/"
"La Galena","https://stream-10.zeno.fm/5w05yazgyy8uv?zs=9kTIJ7zxS7WoDk7tbZ1gyw"
"La Isla Radio Online Del Uruguay","http://lirodu.zapto.org:8000/laislaradio"
"La Nueva del Sur","http://stream.zeno.fm/s6hdmgb9na0uv.m3u"
"La R - 1410 AM","https://la1410-2.nty.uy/"
"LA VEREDA WEB RADIO","https://srv2.radiostreamuy.com/8012/stream"
"La voz de Paysandú - AM 1320","http://salida.stream.com.uy:8508/stream"
"Latina - FM 95.3","http://medios.ciudaddigital.com.uy:8168/LatinaFM"
"M24 · La radio que nos mueve (97.9  / 102.5 )","https://streaming1.hostingmontevideo.com/8034/stream"
"Mega FM","https://radio.cimaspeed.com/8070/stream"
"Metropolis 104.9","https://metropolis-web-1.nty.uy/"
"Metropolis Punta 95.9","https://metropolis-web-1.nty.uy/"
"Montevideo Jazz Radio","http://node-34.zeno.fm/2ykx0xbm6gruv?rj-ttl=5&amp=&rj-tok=AAABgdsb5DoAz8MV8KJpNVyteA"
"Multimedios Rincón AM 1510 - Fray Bentos","https://rinconam-zikoxweb.radioca.st/stream"
"Multimedios Rincón FM 107.7 - Fray Bentos","https://rincon2-zikoxweb.radioca.st/stream"
"Mundo FM 107.9","https://emisiones.com.uy:8154/mundo"
"mundo fm uruguay","http://emisiones.com.uy:8088/mundo"
"Neftalí","https://cloudstream2036.conectarhosting.com/8394/stream"
"Oceano FM","https://oceano-2.nty.uy/"
"Oldies FM","https://hit-1.nty.uy/stream"
"Power Hits Uruguay","https://stream-172.zeno.fm/9dwe227jejgtv?zt=eyJhbGciOiJIUzI1NiJ9.eyJzdHJlYW0iOiI5ZHdlMjI3amVqZ3R2IiwiaG9zdCI6InN0cmVhbS0xNzIuemVuby5mbSIsInJ0dGwiOjUsImp0aSI6IjB5d0kxdVJFU1VHMmZ4NHJUcTZEalEiLCJpYXQiOjE3MjA3NTk4NzUsImV4cCI6MTcyMDc1OTkzNX0.KGT8sf2GBA2SUFbfQwwQxCSmeteO5sqvVqo_lNkaDKQ"
"Radio 41","https://stream20.usastreams.com:7008/"
"Radio Activa Florida 101.1","https://streaming1.hostingmontevideo.com:7014/"
"Radio Acuarela","https://onlineradiobox.com/json/uy/acuarela/play?platform=web"
"Radio Arapey","http://emisiones.com.uy:8085/arapey"
"Radio Centenario CX36 1250 AM","http://rfm.radio.netgate.com.uy:8000/centenario"
"Radio Chiveo","https://comodin.uy/listen/chiveo/128.mp3"
"Radio Clarin","https://radioclarin-zikoxweb.radioca.st/stream"
"Radio Cristal AM 1470 - Las Piedras ","https://medios.ciudaddigital.com.uy:18126/CristalAM"
"Radio Cultura 1290 AM","https://radios.iwstreaming.uy/8034/stream"
"Radio Cultura AM 1280","https://radios.iwstreaming.uy/8034/stream"
"Radio El Espectador","https://espectador-1.nty.uy/"
"RADIO FELICIDAD - URUGUAY","https://medios.ciudaddigital.com.uy:18042/Felicidad"
"Radio Fm 99.1","https://rr5100.globalhost1.com/8454/stream"
"RADIO MARIA URUGUAY","http://dreamsiteradiocp.com:8088/stream"
"Radio Paris100.7","https://stream-174.zeno.fm/a708v4pexf9uv?zt=eyJhbGciOiJIUzI1NiJ9.eyJzdHJlYW0iOiJhNzA4djRwZXhmOXV2IiwiaG9zdCI6InN0cmVhbS0xNzQuemVuby5mbSIsInJ0dGwiOjUsImp0aSI6InFjYUwyamlqUVVpUFVweV80ZzVRc3ciLCJpYXQiOjE3MjA3NjEyOTksImV4cCI6MTcyMDc2MTM1OX0.uDXHC90nBOxo_vr3rwreDOL4v0m2jnyuqXTl5CgVh_Q&rj-ttl=5&rj-tok=AAABftbmGCcAIvlWNyUPizDCeg"
"Radio Patria","https://medios.ciudaddigital.com.uy:18052/PatriaAM"
"Radio Pedal","https://streaming1.hostingmontevideo.com:7003/stream.mp3"
"Radio Pipí Cucú","https://comodin.uy/radio/8000/320.mp3"
"Radio Pipí Cucú (128 kbps)","https://comodin.uy/radio/8000/128.mp3"
"Radio Positiva","https://stream.zeno.fm/6g9bu044cxhvv"
"Radio Prado Sur","https://usa2.fastcast4u.com/proxy/wqzjjais?mp=/"
"Radio Río Branco","https://medios.ciudaddigital.com.uy:18164/RioBranco"
"Radio Rivera CX144 AM 1440","http://usa15.ciudaddigital.com.uy:8060/RiveraAM"
"Radio Uruguay 1050","https://radios.iwstreaming.uy/8036/stream"
"Radiomundo 1170 AM - En Perspectiva","https://edge.mixlr.com/channel/nuuij"
"Reggaeton UY","https://stream.zeno.fm/g5imua2agz9uv"
"Santa Isabel FM 100.1","http://emisiones.com.uy:8101/san"
"siglo 21 fm","https://emisiones.com.uy:5120/siglo"
"ZOE FM 91.5","https://sp.unoredcdn.net/8012/stream"
