"Name","URL"
"Club FM Kosovë","https://cp1.sednastream.com/proxy/clubfmkosova?mp=/stream"
"Glam Radio","https://stream.glamradio.fm:8443/glamradio"
"GlamRADIO","https://stream.glamradio.fm:8443/glamradio"
"KLAN Kosova FM","http://s4.radio.co/sd1d1904dc/listen.m3u"
"Radio Dukagjini","https://s2.voscast.com:8825/radiodukagjini"
"Radio K4 Shqip","http://fm.radiokfor.com:8080/"
"Radio Kosova 1","http://82.114.72.2:8088/"
"Radio Kosova 2","http://82.114.72.2:8098/"
"Radio Kosova E Lire","http://quasar.shoutca.st:8018/"
"Radio Plus","https://cast2.my-control-panel.com/proxy/radiopl1/stream"
"Radio Zëri i Shtimes","http://radio.1dhe1.com:8090/listen.pls"
"RTK Radio Kosova 1","http://82.114.72.2:8088/.mp3"
"RTK Radio Kosova 2","http://82.114.72.2:8098/stream.mp3"
"Urban FM 103.5","https://radio.itprishtina.com/urbanfm.ogg"
