"Name","URL"
"702 Johannesburg","http://playerservices.streamtheworld.com/m3u/FM702.m3u"
"94.7 Highveld Stereo","https://playerservices.streamtheworld.com/api/livestream-redirect/FM947_SC"
"947","http://playerservices.streamtheworld.com/m3u/FM947.m3u"
"African Praise Radio","https://fastcast4u.com/player/africanpraiserad/?pl=winamp&c=African%20Praise%20Radio"
"Agape Radio","https://stream.zeno.fm/rlrdkgnkuzctv"
"AL-Ansaar Radio","https://al-ansaar.simplestreaming.co.za/radio/8000/radio.mp3"
"Al-Ansaar Radio","https://al-ansaar.simplestreaming.co.za/listen/al-ansaar_radio/radio.mp3"
"AL-Ansaar Radio","https://al-ansaar.simplestreaming.co.za/radio/8000/radio.mp3?refresh=1653300780766"
"Algoa FM","http://edge.iono.fm/xice/54_high.mp3"
"Amapiano FM","https://stream.zeno.fm/xs6zeac1ts8uv"
"Bloem Radio Digital","https://9300.co.za/listen/bloem_radio_digital/radio.mp3"
"Bok Radio","https://bokradio.highquality.radiostream.co.za/"
"Bokradio","http://bokradio.highquality.radiostream.co.za/"
"Box Afrofusion Amapiano","https://play.streamafrica.net/afrofusionamp"
"Cape Talk","http://playerservices.streamtheworld.com/m3u/CAPE_TALK.m3u"
"Capital Radio 604","https://stream.galaxywebsolutions.com/proxy/capitalradio604?mp=%2Fstream"
"East Coast Gold","https://live.ecr.co.za/ecrgoldhigh.mp3"
"East Coast Radio","https://live.ecr.co.za/ecrhigh.mp3?aw_0_pinpoll=1,2,9&listenerid=94d1ac3bf877b65e4e17cd7e9bfec132&awparams=companionAds%3Atrue&aw_0_1st.ri=iono"
"Eastwave FM 92.2","http://uk5freenew.listen2myradio.com:12817/"
"Emzini fm radio ","http://stream.zeno.fm/2kbssevq5tjvv"
"Emzini fm radio Shacks","https://stream.zeno.fm/d9fy3jymj55uv"
"Express-FM Digital","http://198.7.59.28:34235/stream"
"Faithofgodseedchurch","http://stream.laut.fm/faithofgodseedchurch.pls"
"Groot FM","https://cast3.my-control-panel.com/proxy/grootfm/stream?1682362396578"
"Harties FM","https://s5.radio.co/s68c6f4028/listen"
"Heaven FM","https://stream.zeno.fm/eequgfw72hhvv"
"Helderberg FM","https://helderberg.highquality.radiostream.co.za/"
"Hellenic Radio","http://iceant.eclipse-streaming.co.za/Hellenic"
"HOT 91.9","http://edge.iono.fm/xice/57_medium.mp3"
"IFM 102.2","http://s7.voscast.com:9538/stream1700094931336/1"
"Ilizwi Fm","https://sv2.famcast.co.za/proxy/ilizwi_fm/stream"
"Jacaranda","https://live.jacarandafm.com/jacarandahigh.mp3"
"Jacaranda FM","https://live.jacarandafm.com/jacarandahigh.mp3"
"Jakaranda FM","https://edge.iono.fm/xice/jacarandafm_live_high.mp3"
"JOY GOSPEL RADIO","https://servidor17.brlogic.com:7012/live"
"Joyful FM","http://c15.radioboss.fm:8218/stream"
"Katlego Fm ","https://streaming.live365.com/a26642"
"KFM 94.5","https://playerservices.streamtheworld.com/api/livestream-redirect/KFM.mp3"
"KM RADIO","https://centova.hostingelectrica.net/proxy/kmradio?mp=/stream&1704296313782"
"Kurara FM","https://stream.zeno.fm/gvmschcf9yzuv"
"Lekker FM","https://zas3.ndx.co.za:8002/stream"
"Link FM (RSA-EC)","https://de2.streamingpulse.com/ssl/LinkFM"
"Link FM EC","https://de2.streamingpulse.com/ssl/LinkFM"
"Lister FM","http://www.adhocstreaming.co.za:8000/LuisterFM"
"Loca FM","https://s3.we4stream.com:2020/stream/locafm"
"Mabopane Rise Radio","https://stream.zeno.fm/kyap8zs093yvv"
"NCDOH Radio The Healthy Sound from Northern Cape Department of Health","https://stream-154.zeno.fm/grjnbwcxbneuv"
"orania radio","https://eclipse-radio2.eclipse-streaming.co.za/listen/radio_orania/radio.mp3"
"Pan African Space Station","https://pass.out.airtime.pro/pass_a"
"Pitch Radio","http://stream.zeno.fm/etw8vx9knm0uv"
"Pretoria FM","http://capeant.antfarm.co.za:8000/ptafm"
"Radio 786","http://stream.krypton.co.za:8040/stream/"
"Radio Fynbos - Stilbaai","https://stream-152.zeno.fm/w0cyqt4cyy8uv?zs=KrkViuxOTr6gZl4perU1jA"
"Radio Islam","http://stream.radioislam.org.za:7542/radioislam.mp3"
"Radio Islam International","http://listen.radioislam.co.za:8080/radioislam.mp3"
"Radio Orania","https://saukradio.com/wp-content/uploads/2021/07/5-Julie-Orania.mp3"
"Radio Turf 103.8 FM","https://sv2.famcast.co.za/proxy/radioturf/stream"
"Redplay Radio","http://stream.zeno.fm/a5r2rwnnffhvv"
"Replay Radio","http://stream.zeno.fm/a5r2rwnnffhvv"
"SAFFA OnAir World Radio","http://stream.zeno.fm/k8cqvwu2za0uv"
"Simply Making Success Radio","https://stream.zeno.fm/ylvoyhv6tbntv"
"Sky Alpha HD","https://sv2.famcast.co.za/proxy/skyalphahd?mp=/stream"
"TAMBO FM","https://listen.radioking.com/radio/326599/stream/374668?fbclid=IwAR3lWR7ZdVVmZBSBedW_Cv1xF_Q7KzGmUQ0stgVCc_A7kx8Cf3Ncek1ntxk"
"UbuntuFM","https://streaming.coollective.nl:8443/UbuntuFM"
"UbuntuFM Africa","https://streaming.coollective.nl:8443/UbuntuFMafrica"
"UniqueFive HD Radio","http://stream.zeno.fm/a4t818ymva0uv"
"Viva Nation Radio","https://servidor34-3.brlogic.com:7056/live?source=website"
